"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","VIPER","CollecTRI"
"1","E2F4","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","2.5","1","6","ENCODE--ChIP-seq(rank=19); Literature--ChIP-seq(rank=44); Enrichr--Queries(rank=84); ReMap--ChIP-seq(rank=231); GTEx--Coexpression(rank=752); ARCHS4--Coexpression(rank=1303)","278","rank=4; score=6.4874; direction=Repressed","rank=1; score=7.5096; p=5.9322e-14; direction=Repressed"
"2","E2F2","VIPER;CollecTRI","4","DoRothEA;ChEA3;VIPER;CollecTRI","14.0","7","3","GTEx--Coexpression(rank=564); ARCHS4--Coexpression(rank=765); Enrichr--Queries(rank=825)","1163","rank=21; score=4.0946; direction=Repressed","rank=7; score=3.3385; p=0.00084233; direction=Repressed"
"3","E2F1","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","18.0","13","6","Literature--ChIP-seq(rank=40); ReMap--ChIP-seq(rank=53); ENCODE--ChIP-seq(rank=103); ARCHS4--Coexpression(rank=761); Enrichr--Queries(rank=854); GTEx--Coexpression(rank=1062)","716","rank=23; score=3.9803; direction=Repressed","rank=13; score=2.8939; p=0.0038054; direction=Repressed"
"4","TFDP1","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","19.0","10","4","Enrichr--Queries(rank=2); ReMap--ChIP-seq(rank=164); ARCHS4--Coexpression(rank=663); GTEx--Coexpression(rank=1332)","6","rank=28; score=3.6904; direction=Repressed","rank=10; score=3.1017; p=0.0019243; direction=Repressed"
"5","MYC","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","30.5","12","6","Literature--ChIP-seq(rank=14); ReMap--ChIP-seq(rank=29); ENCODE--ChIP-seq(rank=34); Enrichr--Queries(rank=48); GTEx--Coexpression(rank=521); ARCHS4--Coexpression(rank=1283)","159","rank=49; score=3.0777; direction=Repressed","rank=12; score=3.0716; p=0.0021294; direction=Repressed"
"6","SPI1","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","35.0","5","6","ENCODE--ChIP-seq(rank=48); Literature--ChIP-seq(rank=65); ReMap--ChIP-seq(rank=87); GTEx--Coexpression(rank=512); Enrichr--Queries(rank=541); ARCHS4--Coexpression(rank=743)","1031","rank=65; score=2.7161; direction=Activated","rank=5; score=3.5856; p=0.00033635; direction=Activated"
"7","STAT1","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","35.5","3","6","ENCODE--ChIP-seq(rank=18); ReMap--ChIP-seq(rank=52); Literature--ChIP-seq(rank=137); Enrichr--Queries(rank=166); ARCHS4--Coexpression(rank=179); GTEx--Coexpression(rank=1258)","490","rank=68; score=2.6563; direction=Activated","rank=3; score=3.9944; p=6.4865e-05; direction=Activated"
"8","FOXO3","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","37.5","8","4","Literature--ChIP-seq(rank=122); GTEx--Coexpression(rank=616); Enrichr--Queries(rank=760); ARCHS4--Coexpression(rank=1196)","1222","rank=67; score=2.6969; direction=Activated","rank=8; score=3.1647; p=0.0015522; direction=Activated"
"9","LYL1","VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","37.5","9","5","ReMap--ChIP-seq(rank=124); Literature--ChIP-seq(rank=141); Enrichr--Queries(rank=534); GTEx--Coexpression(rank=552); ARCHS4--Coexpression(rank=636)","1150","rank=9; score=5.2203; direction=Activated","rank=66; score=1.8427; p=0.065366; direction=Repressed"
"10","TEAD4","VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","40.5","16","6","ENCODE--ChIP-seq(rank=6); Literature--ChIP-seq(rank=66); Enrichr--Queries(rank=180); ReMap--ChIP-seq(rank=279); GTEx--Coexpression(rank=980); ARCHS4--Coexpression(rank=1357)","236","rank=16; score=4.4496; direction=Activated","rank=65; score=1.8453; p=0.064988; direction=Activated"
