"TF","MD_ALL"
"NCOA2","1.5376722882468065734"
"NCOA3","2.2900412751779617437"
"NEUROD1","1.5777236677636028439"
"NFATC1","1.4792478962780286622"
"NFATC2","-0.2115957888768620343"
"NFE2","2.1837170684287130484"
"NFE2L1","2.4215441992372870317"
"NFE2L2","-0.6749629654655514566"
"NFIC","-0.0861735474901514920"
"NFKB1","0.8553014215610084126"
"NFKB2","-2.2652519711136878122"
"NFYA","-1.8145451497537201657"
"NFYB","0.7457095781399283307"
"NR1H2","0.4084396800217975354"
"NR1H3","1.2885375860568417661"
"NR2C2","-4.4536361345693054048"
"NR2F1","3.6020513128797220226"
"NR2F6","-0.6847190531884070896"
"NR3C1","-1.0759174562970930111"
"NR4A1","2.7537958478639557036"
"NR5A2","-0.6011160866228203448"
"NRF1","0.1228517696430885542"
"ONECUT1","0.8979130792589360421"
"OTX2","1.1716847348034855614"
"PAX5","1.6141048808741416121"
"PAX6","-0.4218380212947404617"
"PAX8","0.6138434076981674758"
"PBX2","2.1865012225705062754"
"PBX3","3.4657655618472880121"
"PDX1","2.6334595007256185184"
"PGR","0.4262173608991297602"
"PKNOX1","0.3523876623344503467"
"POU2F1","1.6194336711784145244"
"POU2F2","0.6622803091850814061"
"POU4F2","3.3516239221687702532"
"POU5F1","2.4535941109289396422"
"PPARA","1.5295020525139317868"
"PPARG","0.3403229817291988368"
"PRDM1","0.9131113597683984118"
"PRDM14","5.1600886966832444358"
"PROX1","3.3049115995892712760"
"RARA","-0.3419343200348421430"
"RBPJ","2.9903843858002630007"
"REL","0.8116322022563919880"
"RELA","1.3621842103802632717"
"RELB","2.3663217685372690546"
"REST","-0.0513714930675056580"
"RFX1","-0.0311461761038540966"
"RFX2","-0.1561724713425482192"
"RFX5","0.9123614145437864975"
"RUNX1","1.7683242707405411043"
"RUNX2","2.9449193122870225281"
"RUNX3","1.2130557444559664226"
"RXRA","0.8151059726771355818"
"SIX2","3.3422420440632758520"
"SIX5","3.6391712345097975145"
"SMAD1","0.1851799674123028594"
"SMAD3","0.0711664445582772809"
"SMAD4","-0.2118134721072756632"
"SMAD5","-1.3582591172969464832"
"SNAI2","-0.9853779016345465269"
"SNAPC4","-0.1533510909933468169"
"SOX10","-1.0095233407213350940"
"SOX11","0.6392706205419688148"
"SOX13","2.3480075352441942549"
"SOX2","0.2956964696778641155"
"SOX6","0.6827402858373641248"
"SOX9","-0.1318007535703100419"
"SP1","-1.1256568047564867729"
"SP2","1.3897381795464855969"
"SP3","0.3680226359982088358"
"SP4","2.6887114340030122683"
"SPI1","2.4023122919445318857"
"SPIB","2.1436361583058136659"
"SREBF1","0.0948900347655425164"
"SREBF2","-1.7315606814133019942"
"SRF","0.1231457129038918408"
"STAT1","3.2303491339632364188"
"STAT2","1.1310162110979233852"
"STAT3","0.2968852638587997084"
"STAT4","-0.0053305238478508219"
"STAT5A","1.4922434277090532717"
"STAT5B","1.3955739564100275718"
"STAT6","0.2856273540429090096"
"TAL1","0.7910220252623646475"
"TBP","2.6121057796452995525"
"TBX21","2.5123300763581419837"
"TCF12","4.4950381615736478835"
"TCF3","1.0632485947425289741"
"TCF4","2.6326274010438517337"
"TCF7","2.4953778349188393548"
"TCF7L2","1.4636221627798333689"
"TEAD1","4.8098987037010010326"
"TEAD2","-0.5637614092131753019"
"TEAD4","4.4503675577308676736"
"TFAP2A","0.7133648162495251910"
"TFAP2C","2.1003243743798032384"
"TFAP4","2.9912720198485343026"
"TFDP1","-2.0210412014573915229"
"TGIF2","-0.3533122876499686371"
"THAP1","4.3530360010689062022"
"THAP11","2.3401594294636605120"
"TP53","-0.0944213059597519000"
"TP63","0.7524637428451721455"
"TP73","0.8741265530812296625"
"TWIST1","-0.6829581336948867820"
"USF1","1.0473739044188552505"
"USF2","1.7034505501826753271"
"VDR","-0.5407386484006360128"
"WT1","0.4127461934373531927"
"XBP1","0.5249755677072588389"
"YY1","-0.2570726828966517497"
"ZBED1","-0.1471007776812696122"
"ZBTB11","-1.3435181491411622989"
"ZBTB33","-0.2128261555740900979"
"ZBTB7A","-4.8119867444243595855"
"ZEB1","0.3681567637151484940"
"ZEB2","-1.6493512190010155560"
"ZFX","-0.8494402292170164515"
"ZKSCAN1","1.1602680569173799974"
"ZNF143","2.2692040597964888704"
"ZNF217","2.0640216445332586481"
"ZNF24","-1.3623175055999827698"
"ZNF263","-6.6415244938283013454"
"ZNF274","-0.8756490195970095813"
"ZNF384","1.5474955559119751847"
"ZNF592","1.7411722565136134033"
"ZNF639","2.4921528475347813902"
"ZNF740","0.1602517045027832543"
