"TF","MD_ALL"
"AHR","0.7459459624505876407"
"AR","-1.3160657812761793473"
"ARID2","0.8701384205518613024"
"ARID3A","0.0873457066083752065"
"ARNT","2.1314288266827339235"
"ARNTL","1.9765577630916719709"
"ASCL1","3.2748317468376497708"
"ATF1","1.1236623161722758546"
"ATF2","-1.3197342529880899953"
"ATF3","-1.3365607363056726253"
"ATF4","-3.3093280628310686176"
"ATF6","-1.7230771171285168553"
"ATF7","0.6035208123067741237"
"BACH1","-0.9124875842554822647"
"BACH2","0.3405728337735290934"
"BATF","3.4173068570226274865"
"BCL11A","2.8724201447498023398"
"BCL6","-1.0098618837574950824"
"BHLHE22","-0.9930107150261764382"
"BHLHE40","-1.1365420055471726624"
"CDX2","0.5212001390116927091"
"CEBPA","0.6047275726455155764"
"CEBPB","0.2453918003032598827"
"CEBPD","-0.7345060361961758266"
"CEBPG","2.6317853374474591277"
"CLOCK","3.1222114575892989663"
"CREB1","0.3375388842125649491"
"CREB3","-0.8620793128042008036"
"CREB3L1","0.0035149142252100794"
"CREM","1.0286079615652019559"
"CTCF","1.4841177568130479170"
"CTCFL","3.1613112197841970463"
"CUX1","1.9018804878587283191"
"DUX4","1.1158632185783716739"
"E2F1","-0.8991485408738729701"
"E2F2","-1.4070250712347838196"
"E2F3","-1.4087303597992026916"
"E2F4","-4.4475539422671586109"
"E2F5","-0.9397345369784666502"
"E2F6","-1.5046542416253623209"
"E2F7","0.3395001218540814603"
"EBF1","3.5909381446789732095"
"EGR1","-0.0162804736540937793"
"EHF","0.4979208414712223418"
"ELF1","1.2556884808196939751"
"ELF3","2.3081123195190680342"
"ELF5","-1.8873457037782184198"
"ELK1","-1.0947211807281416185"
"ELK4","-0.9152196296497576711"
"EOMES","0.7576111179971981580"
"EPAS1","1.1599798524775626340"
"ERG","-1.0529211250775845077"
"ESR1","1.8046574781160578116"
"ESR2","1.2766166482944214522"
"ESRRA","2.7538016700449161611"
"ETS1","1.4870317175909220087"
"ETS2","-1.6164722635825561348"
"ETV1","2.5630959836229116888"
"ETV4","0.0096689242331702459"
"FLI1","-0.9600080504621690825"
"FOS","-0.1592249869329265266"
"FOSL1","-1.1437159035332251644"
"FOSL2","0.1248358919817018076"
"FOXA1","-0.0417180504745681691"
"FOXA2","-1.4851115438870425844"
"FOXJ2","0.1999431419156184053"
"FOXK2","-0.0207265551706140201"
"FOXL2","-1.5853541736415752705"
"FOXM1","-1.6731560663363331809"
"FOXO1","0.1688293485649217107"
"FOXO3","2.3512528120934197418"
"FOXO4","-0.1732451549460385098"
"FOXP1","-4.5555186050635168016"
"FOXP2","-2.7413122632045592297"
"GABPA","1.8104841700951239680"
"GATA1","-0.0369946252094498149"
"GATA2","-0.7769454594411743242"
"GATA3","2.7433956695764902811"
"GATA4","-1.0102406418127372056"
"GATA6","2.2501542588232821274"
"GFI1B","1.4315521000296809184"
"GLI2","0.2974255409667607708"
"GRHL2","1.8143802341843249248"
"HBP1","-1.1906034548387531835"
"HHEX","-0.3335755096796071961"
"HIF1A","-0.6359946402994720582"
"HINFP","-0.1899058913022989015"
"HMBOX1","-1.3238806701383467601"
"HNF1A","-1.5713674764495040304"
"HNF1B","0.6966290107043492386"
"HNF4A","0.5892237233987021039"
"HNF4G","1.1690258038573060340"
"HOXA9","0.9963541611776993712"
"HOXB13","0.2171500285627212534"
"HSF1","-1.7380849881156235082"
"IKZF1","2.3755351736446481681"
"IRF1","3.0469557549723464973"
"IRF2","3.5167291173982611063"
"IRF3","2.5711509284036302425"
"IRF4","4.2131747093632032630"
"IRF9","1.2106911174527548170"
"JUN","0.8110649044039852651"
"JUNB","2.7288800522886726974"
"JUND","0.4366002053887453882"
"KDM5B","1.7357328444507944543"
"KLF1","1.7950321224911354179"
"KLF13","-0.7622444368915455293"
"KLF3","0.0006801382275662927"
"KLF4","-0.3972469803802776700"
"KLF5","1.0841493961610826346"
"KLF6","2.1138391575573489689"
"KLF9","2.2605317284146910772"
"KMT2A","-2.1825699917350247503"
"LEF1","-0.0767255020942999855"
"LHX2","1.3829616733008940344"
"LYL1","2.8522275679950985783"
"MAF","1.1532484392923578742"
"MAFB","3.3322796637854636970"
"MAFF","3.2151571705601775797"
"MAFG","2.6482851757535827986"
"MAFK","2.4378369096384440162"
"MAX","1.8927848590307438936"
"MAZ","3.8525838545096799947"
"MBD1","-1.2216141689942936477"
"MBD2","2.4366846427523909391"
"MEF2A","4.6703841403227048801"
"MEF2B","2.1355695153271692099"
"MEF2C","1.8071260852009629616"
"MEIS1","2.0409767350284444554"
"MEIS2","2.6200925938202734855"
"MITF","-0.5634094880517750425"
"MNT","-2.1490880917697205987"
"MXI1","-1.6269886108030640059"
"MYB","0.4860356393597414226"
"MYBL2","1.2396186336578813858"
"MYC","-4.1583313009934101956"
"MYCN","-1.5004982033930223118"
"MYOD1","3.6465536599820911334"
"NANOG","1.4293744273000246192"
"NCOA1","2.0880039049077785407"
