"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","ChEA3","VIPER"
"1","SOX9","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","56.00000000000000","24","5","ReMap--ChIP-seq(rank=3); Literature--ChIP-seq(rank=46); ARCHS4--Coexpression(rank=48); Enrichr--Queries(rank=431); GTEx--Coexpression(rank=766)","47","rank=24; score=1.2085; p=0.061878","rank=47; score=0.0101","rank=97; score=2.0962; direction=Activated"
"2","ESR1","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","58.66666666666666","15","6","Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=9); Enrichr--Queries(rank=189); ARCHS4--Coexpression(rank=547); GTEx--Coexpression(rank=703)","15","rank=85; score=0.27031; p=0.53665","rank=15; score=0.003367","rank=76; score=2.4696; direction=Activated"
"3","MYC","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","72.33333333333333","9","6","Literature--ChIP-seq(rank=14); ReMap--ChIP-seq(rank=29); ENCODE--ChIP-seq(rank=34); Enrichr--Queries(rank=48); GTEx--Coexpression(rank=521); ARCHS4--Coexpression(rank=1283)","159","rank=9; score=1.9271; p=0.011828","rank=159; score=0.03419","rank=49; score=3.0777; direction=Repressed"
"4","MYCN","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","73.33333333333333","23","5","GTEx--Coexpression(rank=45); Literature--ChIP-seq(rank=69); ReMap--ChIP-seq(rank=132); Enrichr--Queries(rank=623); ARCHS4--Coexpression(rank=828)","131","rank=23; score=1.2085; p=0.061878","rank=131; score=0.028","rank=66; score=2.7088; direction=Repressed"
"5","TP73","DoRothEA;ChEA3;VIPER","5","DoRothEA;ChEA3;VIPER;TRRUST;CollecTRI","76.33333333333333","53","3","GTEx--Coexpression(rank=40); Enrichr--Queries(rank=52); ARCHS4--Coexpression(rank=1345)","114","rank=53; score=0.72912; p=0.18659","rank=114; score=0.02489","rank=62; score=2.8383; direction=Activated"
"6","CUX1","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","86.33333333333333","69","6","ReMap--ChIP-seq(rank=5); ENCODE--ChIP-seq(rank=79); Literature--ChIP-seq(rank=133); Enrichr--Queries(rank=796); GTEx--Coexpression(rank=1301); ARCHS4--Coexpression(rank=1360)","78","rank=112; score=0; p=1","rank=78; score=0.01684","rank=69; score=2.6341; direction=Activated"
"7","SNAI2","DoRothEA;ChEA3;VIPER","5","DoRothEA;ChEA3;VIPER;TRRUST;CollecTRI","88.33333333333334","16","4","Enrichr--Queries(rank=5); ARCHS4--Coexpression(rank=12); GTEx--Coexpression(rank=83); ReMap--ChIP-seq(rank=126)","16","rank=224; score=0; p=1","rank=16; score=0.003561","rank=25; score=3.8667; direction=Repressed"
"8","GRHL2","DoRothEA;ChEA3;VIPER","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","90.00000000000000","48","5","ReMap--ChIP-seq(rank=43); GTEx--Coexpression(rank=51); Literature--ChIP-seq(rank=96); Enrichr--Queries(rank=220); ARCHS4--Coexpression(rank=336)","147","rank=75; score=0.49196; p=0.32214","rank=147; score=0.03174","rank=48; score=3.1313; direction=Activated"
"9","GATA3","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","91.00000000000000","19","6","ENCODE--ChIP-seq(rank=5); GTEx--Coexpression(rank=7); Literature--ChIP-seq(rank=18); ReMap--ChIP-seq(rank=83); Enrichr--Queries(rank=165); ARCHS4--Coexpression(rank=720)","20","rank=19; score=1.302; p=0.049892","rank=20; score=0.004356","rank=234; score=0.36903; direction=Activated"
"10","CREB3L1","DoRothEA;ChEA3;VIPER","4","DoRothEA;ChEA3;VIPER;CollecTRI","91.66666666666666","10","4","ARCHS4--Coexpression(rank=4); Enrichr--Queries(rank=6); ReMap--ChIP-seq(rank=208); GTEx--Coexpression(rank=1370)","10","rank=32; score=1.0085; p=0.098058","rank=10; score=0.002457","rank=233; score=0.37387; direction=Activated"
