"TF","Score","Activity_Score_Mean","Method_P_Value","Condition_Scores","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"E2F4","5.655760764311689393","-5.655760764311689393","0.00000001551574629597126","MD_HCT116=-5.656","Repressed","1","collectri","1","5.655760764311689393",NA,"6","ENCODE--ChIP-seq(rank=43); ReMap--ChIP-seq(rank=103); Literature--ChIP-seq(rank=132); ARCHS4--Coexpression(rank=1197); Enrichr--Queries(rank=1221); GTEx--Coexpression(rank=1496)","967","0.34680000000000000","ReMap ChIP-seq,0.3468"
"REST","4.529708029243476375","4.529708029243476375","0.00000590652525827617853","MD_HCT116=4.53","Activated","2","collectri","2","4.529708029243476375",NA,"6","ENCODE--ChIP-seq(rank=17); ReMap--ChIP-seq(rank=37); Literature--ChIP-seq(rank=40); GTEx--Coexpression(rank=214); ARCHS4--Coexpression(rank=320); Enrichr--Queries(rank=1158)","443","0.12460000000000000","ReMap ChIP-seq,0.1246"
"MYC","4.142183783063997815","-4.142183783063997815","0.00003440144974427084880","MD_HCT116=-4.142","Repressed","3","collectri","3","4.142183783063997815",NA,"6","Literature--ChIP-seq(rank=68); ENCODE--ChIP-seq(rank=69); ReMap--ChIP-seq(rank=114); Enrichr--Queries(rank=194); GTEx--Coexpression(rank=547); ARCHS4--Coexpression(rank=1428)","490","0.13819999999999999","Enrichr Queries,0.1382"
"ZNF331","3.834913659026762289","-3.834913659026762289","0.00012560841039475217906","MD_HCT116=-3.835","Repressed","4","collectri","4","3.834913659026762289",NA,"3","Enrichr--Queries(rank=373); GTEx--Coexpression(rank=787); ARCHS4--Coexpression(rank=1415)","817","0.26569999999999999","Enrichr Queries,0.2657"
"CTBP1","3.790350498206781271","-3.790350498206781271","0.00015043485627554508788","MD_HCT116=-3.79","Repressed","5","collectri","5","3.790350498206781271",NA,"0","",NA,NA,NA
"ESRRB","3.789013384503311155","-3.789013384503311155","0.00015124676581603174567","MD_HCT116=-3.789","Repressed","6","collectri","6","3.789013384503311155",NA,"4","Literature--ChIP-seq(rank=110); Enrichr--Queries(rank=513); ARCHS4--Coexpression(rank=800); GTEx--Coexpression(rank=957)","1008","0.36540000000000000","Enrichr Queries,0.3654"
"TFDP1","3.746631573343759403","-3.746631573343759403","0.00017922501708493853182","MD_HCT116=-3.747","Repressed","7","collectri","7","3.746631573343759403",NA,"4","ReMap--ChIP-seq(rank=157); GTEx--Coexpression(rank=286); ARCHS4--Coexpression(rank=787); Enrichr--Queries(rank=800)","597","0.17799999999999999","GTEx Coexpression,0.178"
"KLF17","3.691552650231324062","3.691552650231324062","0.00022288924424940942132","MD_HCT116=3.692","Activated","8","collectri","8","3.691552650231324062",NA,"3","Enrichr--Queries(rank=699); ARCHS4--Coexpression(rank=1253); GTEx--Coexpression(rank=1400)","1229","0.49790000000000001","Enrichr Queries,0.4979"
"ZNF143","3.293261127842484370","-3.293261127842484370","0.00099032451983190007347","MD_HCT116=-3.293","Repressed","9","collectri","9","3.293261127842484370",NA,"5","ReMap--ChIP-seq(rank=49); ENCODE--ChIP-seq(rank=67); ARCHS4--Coexpression(rank=880); Enrichr--Queries(rank=1096); GTEx--Coexpression(rank=1600)","562","0.16500000000000001","ReMap ChIP-seq,0.165"
"NFYA","3.153079029273894829","-3.153079029273894829","0.00161558062245899356109","MD_HCT116=-3.153","Repressed","10","collectri","10","3.153079029273894829",NA,"5","ENCODE--ChIP-seq(rank=82); ReMap--ChIP-seq(rank=237); GTEx--Coexpression(rank=893); Enrichr--Queries(rank=946); ARCHS4--Coexpression(rank=1341)","1328","0.55569999999999997","GTEx Coexpression,0.5557"
