"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ChEA3","ENRICHR"
"1","MTF2","ChEA3;ENRICHR","3","ChEA3;ENRICHR;CollecTRI","15.5","5","3","Literature--ChIP-seq(rank=1); ARCHS4--Coexpression(rank=1323); GTEx--Coexpression(rank=1324)","26","rank=26; score=0.006098","rank=5; score=320.13; p=4.8136e-47; adjP=1.8075e-44"
"2","CBX2","ChEA3;ENRICHR","2","ChEA3;ENRICHR","22.5","16","5","ENCODE--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=2); ARCHS4--Coexpression(rank=1204); Enrichr--Queries(rank=1212); GTEx--Coexpression(rank=1420)","29","rank=29; score=0.006734","rank=16; score=37.137; p=4.6343e-08; adjP=6.6929e-07"
"3","MEIS1","ChEA3;ENRICHR","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","29.0","7","5","Enrichr--Queries(rank=16); Literature--ChIP-seq(rank=30); ReMap--ChIP-seq(rank=58); GTEx--Coexpression(rank=114); ARCHS4--Coexpression(rank=509)","51","rank=51; score=0.0114","rank=7; score=19.578; p=5.0434e-06; adjP=3.9855e-05"
"4","SOX2","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","31.5","8","5","Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=48); GTEx--Coexpression(rank=167); Enrichr--Queries(rank=269); ARCHS4--Coexpression(rank=326)","55","rank=55; score=0.0122","rank=8; score=175.83; p=8.6046e-30; adjP=9.2315e-28"
"5","REST","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","42.5","10","6","ENCODE--ChIP-seq(rank=2); Literature--ChIP-seq(rank=9); GTEx--Coexpression(rank=27); ReMap--ChIP-seq(rank=49); ARCHS4--Coexpression(rank=770); Enrichr--Queries(rank=1076)","75","rank=75; score=0.0168","rank=10; score=47.586; p=3.5132e-10; adjP=6.9431e-09"
"6","SOX10","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","43.5","22","4","GTEx--Coexpression(rank=8); ReMap--ChIP-seq(rank=47); ARCHS4--Coexpression(rank=299); Enrichr--Queries(rank=395)","22","rank=22; score=0.004978","rank=65; score=60.374; p=0.0021915; adjP=0.04037"
"7","NANOG","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","49.5","39","6","ReMap--ChIP-seq(rank=4); Literature--ChIP-seq(rank=14); ENCODE--ChIP-seq(rank=68); ARCHS4--Coexpression(rank=511); Enrichr--Queries(rank=562); GTEx--Coexpression(rank=939)","60","rank=60; score=0.01347","rank=39; score=25.208; p=2.4958e-07; adjP=3.0727e-06"
"8","WT1","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","57.0","9","4","Literature--ChIP-seq(rank=4); Enrichr--Queries(rank=157); GTEx--Coexpression(rank=329); ARCHS4--Coexpression(rank=384)","105","rank=105; score=0.02439","rank=9; score=74.951; p=1.436e-17; adjP=5.6758e-16"
"9","ATF4","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","62.0","6","4","ReMap--ChIP-seq(rank=8); GTEx--Coexpression(rank=105); Enrichr--Queries(rank=1175); ARCHS4--Coexpression(rank=1559)","118","rank=118; score=0.02694","rank=6; score=78.259; p=1.253e-05; adjP=0.0024872"
"10","ESR1","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","70.5","62","6","Literature--ChIP-seq(rank=3); ENCODE--ChIP-seq(rank=5); ReMap--ChIP-seq(rank=31); GTEx--Coexpression(rank=251); Enrichr--Queries(rank=362); ARCHS4--Coexpression(rank=380)","79","rank=79; score=0.01829","rank=62; score=77.862; p=2.596e-15; adjP=9.7478e-14"
