"TF","MD_HCT116","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"ZNF263","-12.515382198485998089","-12.515382198485998089","12.515382198485998089","Repressed","1","viper","1","12.515382198485998089",NA,NA,"6","ENCODE--ChIP-seq(rank=47); ReMap--ChIP-seq(rank=54); Literature--ChIP-seq(rank=100); Enrichr--Queries(rank=991); GTEx--Coexpression(rank=1179); ARCHS4--Coexpression(rank=1603)","608","0.18179999999999999","ReMap ChIP-seq,0.1818"
"PRDM14","6.895616009207871322","6.895616009207871322","6.895616009207871322","Activated","2","viper","2","6.895616009207871322",NA,NA,"5","ReMap--ChIP-seq(rank=7); Literature--ChIP-seq(rank=27); ARCHS4--Coexpression(rank=426); Enrichr--Queries(rank=891); GTEx--Coexpression(rank=1014)","103","0.02357000000000000","ReMap ChIP-seq,0.02357"
"CTCFL","6.348443525347861716","6.348443525347861716","6.348443525347861716","Activated","3","viper","3","6.348443525347861716",NA,NA,"5","ReMap--ChIP-seq(rank=35); ENCODE--ChIP-seq(rank=57); Enrichr--Queries(rank=619); ARCHS4--Coexpression(rank=890); GTEx--Coexpression(rank=1183)","424","0.11780000000000000","ReMap ChIP-seq,0.1178"
"ZBTB7A","-6.232362870125516707","-6.232362870125516707","6.232362870125516707","Repressed","4","viper","4","6.232362870125516707",NA,NA,"5","ReMap--ChIP-seq(rank=2); ENCODE--ChIP-seq(rank=9); GTEx--Coexpression(rank=124); ARCHS4--Coexpression(rank=348); Enrichr--Queries(rank=977)","28","0.00673400000000000","ReMap ChIP-seq,0.006734"
"NR2F1","6.208570735036727406","6.208570735036727406","6.208570735036727406","Activated","5","viper","5","6.208570735036727406",NA,NA,"4","ReMap--ChIP-seq(rank=11); ARCHS4--Coexpression(rank=42); Enrichr--Queries(rank=122); GTEx--Coexpression(rank=383)","113","0.02580000000000000","ARCHS4 Coexpression,0.0258"
"KLF9","5.379603757825364596","5.379603757825364596","5.379603757825364596","Activated","6","viper","6","5.379603757825364596",NA,NA,"4","ReMap--ChIP-seq(rank=32); ARCHS4--Coexpression(rank=128); Enrichr--Queries(rank=305); GTEx--Coexpression(rank=558)","300","0.07862000000000000","ARCHS4 Coexpression,0.07862"
"E2F4","-5.025189602361500363","-5.025189602361500363","5.025189602361500363","Repressed","7","viper","7","5.025189602361500363",NA,NA,"6","ENCODE--ChIP-seq(rank=43); ReMap--ChIP-seq(rank=103); Literature--ChIP-seq(rank=132); ARCHS4--Coexpression(rank=1197); Enrichr--Queries(rank=1221); GTEx--Coexpression(rank=1496)","967","0.34680000000000000","ReMap ChIP-seq,0.3468"
"SREBF2","-4.911205654387616804","-4.911205654387616804","4.911205654387616804","Repressed","8","viper","8","4.911205654387616804",NA,NA,"6","ENCODE--ChIP-seq(rank=58); Literature--ChIP-seq(rank=71); ReMap--ChIP-seq(rank=116); GTEx--Coexpression(rank=139); Enrichr--Queries(rank=533); ARCHS4--Coexpression(rank=1145)","330","0.08649999999999999","GTEx Coexpression,0.0865"
"EBF1","4.862917124761350962","4.862917124761350962","4.862917124761350962","Activated","9","viper","9","4.862917124761350962",NA,NA,"5","ENCODE--ChIP-seq(rank=91); GTEx--Coexpression(rank=95); ReMap--ChIP-seq(rank=185); Enrichr--Queries(rank=241); ARCHS4--Coexpression(rank=301)","238","0.05912000000000000","GTEx Coexpression,0.05912"
"THAP1","4.709630435195753861","4.709630435195753861","4.709630435195753861","Activated","10","viper","10","4.709630435195753861",NA,NA,"5","ReMap--ChIP-seq(rank=22); ENCODE--ChIP-seq(rank=100); ARCHS4--Coexpression(rank=589); Enrichr--Queries(rank=1077); GTEx--Coexpression(rank=1552)","286","0.07407000000000000","ReMap ChIP-seq,0.07407"
"SREBF1","-4.640381612925887467","-4.640381612925887467","4.640381612925887467","Repressed","11","viper","11","4.640381612925887467",NA,NA,"6","ENCODE--ChIP-seq(rank=35); Literature--ChIP-seq(rank=103); ReMap--ChIP-seq(rank=128); GTEx--Coexpression(rank=193); Enrichr--Queries(rank=260); ARCHS4--Coexpression(rank=497)","428","0.12010000000000000","GTEx Coexpression,0.1201"
