"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","VIPER","CollecTRI"
"1","SREBF1","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","10.5","2","6","ENCODE--ChIP-seq(rank=62); Literature--ChIP-seq(rank=134); ReMap--ChIP-seq(rank=271); GTEx--Coexpression(rank=657); Enrichr--Queries(rank=901); ARCHS4--Coexpression(rank=1229)","1076","rank=19; score=4.0931; direction=Activated","rank=2; score=3.9666; p=7.2906e-05; direction=Activated"
"2","HOXB13","VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","17.5","15","4","Enrichr--Queries(rank=229); ReMap--ChIP-seq(rank=237); ARCHS4--Coexpression(rank=635); GTEx--Coexpression(rank=727)","591","rank=20; score=3.884; direction=Activated","rank=15; score=3.0532; p=0.002264; direction=Activated"
"3","SREBF2","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","27.5","22","6","ENCODE--ChIP-seq(rank=55); Literature--ChIP-seq(rank=122); ReMap--ChIP-seq(rank=133); GTEx--Coexpression(rank=209); Enrichr--Queries(rank=1042); ARCHS4--Coexpression(rank=1490)","501","rank=33; score=3.6666; direction=Activated","rank=22; score=2.8499; p=0.0043727; direction=Activated"
"4","FOXO3","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","36.5","9","4","Literature--ChIP-seq(rank=50); GTEx--Coexpression(rank=805); Enrichr--Queries(rank=1099); ARCHS4--Coexpression(rank=1314)","896","rank=64; score=2.966; direction=Activated","rank=9; score=3.3395; p=0.00083937; direction=Activated"
"5","ATF4","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","39.0","13","4","ReMap--ChIP-seq(rank=65); GTEx--Coexpression(rank=1214); Enrichr--Queries(rank=1272); ARCHS4--Coexpression(rank=1460)","715","rank=65; score=2.9611; direction=Repressed","rank=13; score=3.1141; p=0.0018448; direction=Repressed"
"6","TFAP2C","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","41.0","8","6","Literature--ChIP-seq(rank=44); GTEx--Coexpression(rank=71); ReMap--ChIP-seq(rank=71); ENCODE--ChIP-seq(rank=104); Enrichr--Queries(rank=250); ARCHS4--Coexpression(rank=428)","201","rank=74; score=2.7653; direction=Activated","rank=8; score=3.3411; p=0.00083454; direction=Activated"
"7","SMAD1","VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","45.5","42","5","Literature--ChIP-seq(rank=104); ReMap--ChIP-seq(rank=226); ARCHS4--Coexpression(rank=471); Enrichr--Queries(rank=701); GTEx--Coexpression(rank=1567)","867","rank=42; score=3.4014; direction=Activated","rank=49; score=2.4001; p=0.016391; direction=Activated"
"8","HNF1B","VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","55.5","35","3","ReMap--ChIP-seq(rank=25); ARCHS4--Coexpression(rank=499); Enrichr--Queries(rank=878)","357","rank=76; score=2.7418; direction=Activated","rank=35; score=2.708; p=0.0067681; direction=Activated"
"9","ONECUT1","VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","55.5","48","4","ReMap--ChIP-seq(rank=60); ARCHS4--Coexpression(rank=225); Enrichr--Queries(rank=602); GTEx--Coexpression(rank=632)","521","rank=63; score=2.9663; direction=Activated","rank=48; score=2.406; p=0.01613; direction=Activated"
"10","ELF3","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","56.5","6","4","ReMap--ChIP-seq(rank=13); Enrichr--Queries(rank=373); ARCHS4--Coexpression(rank=440); GTEx--Coexpression(rank=697)","199","rank=6; score=5.4516; direction=Activated","rank=107; score=1.9533; p=0.050785; direction=Activated"
