"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","VIPER","CollecTRI"
"1","E2F4","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","4.0","1","6","ENCODE--ChIP-seq(rank=43); ReMap--ChIP-seq(rank=103); Literature--ChIP-seq(rank=132); ARCHS4--Coexpression(rank=1197); Enrichr--Queries(rank=1221); GTEx--Coexpression(rank=1496)","967","rank=7; score=5.0252; direction=Repressed","rank=1; score=5.6558; p=1.5516e-08; direction=Repressed"
"2","MYC","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","9.0","3","6","Literature--ChIP-seq(rank=68); ENCODE--ChIP-seq(rank=69); ReMap--ChIP-seq(rank=114); Enrichr--Queries(rank=194); GTEx--Coexpression(rank=547); ARCHS4--Coexpression(rank=1428)","490","rank=15; score=4.0787; direction=Repressed","rank=3; score=4.1422; p=3.4401e-05; direction=Repressed"
"3","SREBF2","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","9.5","8","6","ENCODE--ChIP-seq(rank=58); Literature--ChIP-seq(rank=71); ReMap--ChIP-seq(rank=116); GTEx--Coexpression(rank=139); Enrichr--Queries(rank=533); ARCHS4--Coexpression(rank=1145)","330","rank=8; score=4.9112; direction=Repressed","rank=11; score=3.1408; p=0.001685; direction=Repressed"
"4","TFDP1","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","11.5","7","4","ReMap--ChIP-seq(rank=157); GTEx--Coexpression(rank=286); ARCHS4--Coexpression(rank=787); Enrichr--Queries(rank=800)","597","rank=16; score=4.0269; direction=Repressed","rank=7; score=3.7466; p=0.00017923; direction=Repressed"
"5","REST","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","15.0","2","6","ENCODE--ChIP-seq(rank=17); ReMap--ChIP-seq(rank=37); Literature--ChIP-seq(rank=40); GTEx--Coexpression(rank=214); ARCHS4--Coexpression(rank=320); Enrichr--Queries(rank=1158)","443","rank=28; score=3.3031; direction=Repressed","rank=2; score=4.5297; p=5.9065e-06; direction=Activated"
"6","E2F1","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","23.0","19","6","ENCODE--ChIP-seq(rank=64); Literature--ChIP-seq(rank=108); ReMap--ChIP-seq(rank=143); GTEx--Coexpression(rank=211); Enrichr--Queries(rank=920); ARCHS4--Coexpression(rank=1212)","469","rank=19; score=3.6185; direction=Repressed","rank=27; score=2.4778; p=0.013221; direction=Repressed"
"7","ZNF143","VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","31.5","9","5","ReMap--ChIP-seq(rank=49); ENCODE--ChIP-seq(rank=67); ARCHS4--Coexpression(rank=880); Enrichr--Queries(rank=1096); GTEx--Coexpression(rank=1600)","562","rank=54; score=2.4985; direction=Activated","rank=9; score=3.2933; p=0.00099032; direction=Repressed"
"8","TEAD1","VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;TRRUST;CollecTRI","36.0","18","4","ReMap--ChIP-seq(rank=20); ARCHS4--Coexpression(rank=119); Enrichr--Queries(rank=144); GTEx--Coexpression(rank=540)","262","rank=18; score=3.7964; direction=Activated","rank=54; score=2.0012; p=0.045371; direction=Activated"
"9","NFE2L2","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","41.5","39","5","GTEx--Coexpression(rank=16); Literature--ChIP-seq(rank=36); ReMap--ChIP-seq(rank=144); ARCHS4--Coexpression(rank=185); Enrichr--Queries(rank=380)","45","rank=39; score=2.9419; direction=Repressed","rank=44; score=2.1649; p=0.030396; direction=Repressed"
"10","KLF1","VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","49.5","29","5","Literature--ChIP-seq(rank=52); ReMap--ChIP-seq(rank=68); ARCHS4--Coexpression(rank=532); Enrichr--Queries(rank=648); GTEx--Coexpression(rank=1340)","720","rank=29; score=3.2967; direction=Activated","rank=70; score=1.8942; p=0.058194; direction=Repressed"
