"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ChEA3","ENRICHR"
"1","MTF2","ChEA3;ENRICHR","3","ChEA3;ENRICHR;CollecTRI","15.0","5","3","Literature--ChIP-seq(rank=1); ARCHS4--Coexpression(rank=652); GTEx--Coexpression(rank=1181)","25","rank=25; score=0.006098","rank=5; score=146.33; p=3.3498e-29; adjP=1.2646e-26"
"2","KLF5","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","24.0","20","5","GTEx--Coexpression(rank=7); ARCHS4--Coexpression(rank=9); ReMap--ChIP-seq(rank=18); Enrichr--Queries(rank=29); Literature--ChIP-seq(rank=56)","20","rank=20; score=0.004356","rank=28; score=100.94; p=0.00012732; adjP=0.00065391"
"3","JUND","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","24.5","12","6","ENCODE--ChIP-seq(rank=1); Literature--ChIP-seq(rank=97); ReMap--ChIP-seq(rank=124); ARCHS4--Coexpression(rank=387); Enrichr--Queries(rank=940); GTEx--Coexpression(rank=1248)","37","rank=37; score=0.008475","rank=12; score=17.456; p=0.00012141; adjP=0.033023"
"4","SOX2","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","31.5","9","5","Literature--ChIP-seq(rank=2); ARCHS4--Coexpression(rank=126); ReMap--ChIP-seq(rank=161); GTEx--Coexpression(rank=289); Enrichr--Queries(rank=351)","54","rank=54; score=0.0122","rank=9; score=138.59; p=9.2005e-27; adjP=2.3155e-24"
"5","NFE2L2","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","36.0","27","5","GTEx--Coexpression(rank=16); Literature--ChIP-seq(rank=36); ReMap--ChIP-seq(rank=144); ARCHS4--Coexpression(rank=185); Enrichr--Queries(rank=380)","45","rank=45; score=0.009956","rank=27; score=17.376; p=0.00015464; adjP=0.0007343"
"6","TP63","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","48.5","47","5","ReMap--ChIP-seq(rank=3); Literature--ChIP-seq(rank=16); ARCHS4--Coexpression(rank=98); GTEx--Coexpression(rank=143); Enrichr--Queries(rank=173)","47","rank=47; score=0.0101","rank=50; score=30.924; p=4.1715e-09; adjP=9.8422e-08"
"7","BACH1","ChEA3;ENRICHR","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","58.0","37","6","Literature--ChIP-seq(rank=3); ENCODE--ChIP-seq(rank=55); ReMap--ChIP-seq(rank=178); Enrichr--Queries(rank=445); ARCHS4--Coexpression(rank=555); GTEx--Coexpression(rank=1296)","79","rank=79; score=0.01829","rank=37; score=68.35; p=1.4356e-14; adjP=9.8531e-13"
"8","ZBTB7A","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","62.0","28","5","ReMap--ChIP-seq(rank=2); ENCODE--ChIP-seq(rank=9); GTEx--Coexpression(rank=124); ARCHS4--Coexpression(rank=348); Enrichr--Queries(rank=977)","28","rank=28; score=0.006734","rank=96; score=2.8216; p=0.083834; adjP=0.53645"
"9","PRDM14","ChEA3;ENRICHR","4","DoRothEA;ChEA3;VIPER;ENRICHR","64.0","25","5","ReMap--ChIP-seq(rank=7); Literature--ChIP-seq(rank=27); ARCHS4--Coexpression(rank=426); Enrichr--Queries(rank=891); GTEx--Coexpression(rank=1014)","103","rank=103; score=0.02357","rank=25; score=47.591; p=1.3043e-05; adjP=0.00010258"
"10","TCF12","ChEA3;ENRICHR","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","65.5","59","5","ENCODE--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=48); ARCHS4--Coexpression(rank=243); GTEx--Coexpression(rank=415); Enrichr--Queries(rank=801)","72","rank=72; score=0.01695","rank=59; score=4.9096; p=0.022771; adjP=0.55012"
