"TF","LD_SW480","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"TEAD1","6.524284934099455313","6.524284934099455313","6.524284934099455313","Activated","1","viper","1","6.524284934099455313",NA,NA,"4","ReMap--ChIP-seq(rank=9); ARCHS4--Coexpression(rank=361); GTEx--Coexpression(rank=457); Enrichr--Queries(rank=839)","138","0.03030000000000000","ReMap ChIP-seq,0.0303"
"FOXP1","-6.231460375991858314","-6.231460375991858314","6.231460375991858314","Repressed","2","viper","2","6.231460375991858314",NA,NA,"5","Literature--ChIP-seq(rank=92); ReMap--ChIP-seq(rank=286); GTEx--Coexpression(rank=694); Enrichr--Queries(rank=941); ARCHS4--Coexpression(rank=1070)","1117","0.43190000000000001","GTEx Coexpression,0.4319"
"ZBTB7A","-5.931545398941627134","-5.931545398941627134","5.931545398941627134","Repressed","3","viper","3","5.931545398941627134",NA,NA,"5","ReMap--ChIP-seq(rank=14); ENCODE--ChIP-seq(rank=16); GTEx--Coexpression(rank=640); Enrichr--Queries(rank=1122); ARCHS4--Coexpression(rank=1340)","210","0.04714000000000000","ReMap ChIP-seq,0.04714"
"ZNF263","-5.761933660811126678","-5.761933660811126678","5.761933660811126678","Repressed","4","viper","4","5.761933660811126678",NA,NA,"6","ENCODE--ChIP-seq(rank=11); ReMap--ChIP-seq(rank=16); Literature--ChIP-seq(rank=103); GTEx--Coexpression(rank=1212); Enrichr--Queries(rank=1333); ARCHS4--Coexpression(rank=1570)","236","0.05387000000000000","ReMap ChIP-seq,0.05387"
"PRDM14","5.530514432493542465","5.530514432493542465","5.530514432493542465","Activated","5","viper","5","5.530514432493542465",NA,NA,"5","ReMap--ChIP-seq(rank=5); Literature--ChIP-seq(rank=82); Enrichr--Queries(rank=640); ARCHS4--Coexpression(rank=817); GTEx--Coexpression(rank=858)","75","0.01684000000000000","ReMap ChIP-seq,0.01684"
"ELF3","5.451594406911971724","5.451594406911971724","5.451594406911971724","Activated","6","viper","6","5.451594406911971724",NA,NA,"4","ReMap--ChIP-seq(rank=13); Enrichr--Queries(rank=373); ARCHS4--Coexpression(rank=440); GTEx--Coexpression(rank=697)","199","0.04377000000000000","ReMap ChIP-seq,0.04377"
"TCF12","5.382628685467236274","5.382628685467236274","5.382628685467236274","Activated","7","viper","7","5.382628685467236274",NA,NA,"5","ENCODE--ChIP-seq(rank=9); ReMap--ChIP-seq(rank=68); ARCHS4--Coexpression(rank=242); GTEx--Coexpression(rank=502); Enrichr--Queries(rank=1187)","330","0.07627000000000000","ENCODE ChIP-seq,0.07627"
"TBX21","4.877514511165236932","4.877514511165236932","4.877514511165236932","Activated","8","viper","8","4.877514511165236932",NA,NA,"4","ReMap--ChIP-seq(rank=163); ARCHS4--Coexpression(rank=276); GTEx--Coexpression(rank=312); Enrichr--Queries(rank=678)","605","0.16950000000000001","ARCHS4 Coexpression,0.1695"
"ASCL1","4.634257764899025744","4.634257764899025744","4.634257764899025744","Activated","9","viper","9","4.634257764899025744",NA,NA,"4","GTEx--Coexpression(rank=32); ReMap--ChIP-seq(rank=77); Enrichr--Queries(rank=228); ARCHS4--Coexpression(rank=1312)","90","0.01991000000000000","GTEx Coexpression,0.01991"
"MAFG","4.542636986611666039","4.542636986611666039","4.542636986611666039","Activated","10","viper","10","4.542636986611666039",NA,NA,"4","ReMap--ChIP-seq(rank=94); GTEx--Coexpression(rank=761); Enrichr--Queries(rank=1001); ARCHS4--Coexpression(rank=1330)","919","0.31650000000000000","ReMap ChIP-seq,0.3165"
"MAFK","4.447363175487424769","4.447363175487424769","4.447363175487424769","Activated","11","viper","11","4.447363175487424769",NA,NA,"5","ENCODE--ChIP-seq(rank=25); ReMap--ChIP-seq(rank=129); Enrichr--Queries(rank=805); GTEx--Coexpression(rank=1060); ARCHS4--Coexpression(rank=1445)","700","0.21190000000000001","ENCODE ChIP-seq,0.2119"
"KLF6","4.433155359462832124","4.433155359462832124","4.433155359462832124","Activated","12","viper","12","4.433155359462832124",NA,NA,"4","ReMap--ChIP-seq(rank=19); ARCHS4--Coexpression(rank=165); Enrichr--Queries(rank=887); GTEx--Coexpression(rank=887)","279","0.06397000000000000","ReMap ChIP-seq,0.06397"
"TEAD4","4.403734196253448197","4.403734196253448197","4.403734196253448197","Activated","13","viper","13","4.403734196253448197",NA,NA,"6","ENCODE--ChIP-seq(rank=15); Literature--ChIP-seq(rank=21); ReMap--ChIP-seq(rank=151); GTEx--Coexpression(rank=869); Enrichr--Queries(rank=969); ARCHS4--Coexpression(rank=1308)","490","0.12709999999999999","ENCODE ChIP-seq,0.1271"
"MAFB","4.392040371587258463","4.392040371587258463","4.392040371587258463","Activated","14","viper","14","4.392040371587258463",NA,NA,"4","ARCHS4--Coexpression(rank=96); GTEx--Coexpression(rank=178); ReMap--ChIP-seq(rank=205); Enrichr--Queries(rank=469)","258","0.05897000000000000","ARCHS4 Coexpression,0.05897"
"MNT","-4.251401088085255076","-4.251401088085255076","4.251401088085255076","Repressed","15","viper","15","4.251401088085255076",NA,NA,"4","ReMap--ChIP-seq(rank=236); GTEx--Coexpression(rank=958); ARCHS4--Coexpression(rank=1024); Enrichr--Queries(rank=1128)","1380","0.59609999999999996","GTEx Coexpression,0.5961"
"HNF4G","4.238299140820674715","4.238299140820674715","4.238299140820674715","Activated","16","viper","16","4.238299140820674715",NA,NA,"5","ENCODE--ChIP-seq(rank=65); ReMap--ChIP-seq(rank=164); ARCHS4--Coexpression(rank=254); GTEx--Coexpression(rank=392); Enrichr--Queries(rank=511)","567","0.15600000000000000","ARCHS4 Coexpression,0.156"
"MAZ","4.146414488883904070","4.146414488883904070","4.146414488883904070","Activated","17","viper","17","4.146414488883904070",NA,NA,"5","ENCODE--ChIP-seq(rank=35); ReMap--ChIP-seq(rank=82); GTEx--Coexpression(rank=1227); ARCHS4--Coexpression(rank=1316); Enrichr--Queries(rank=1375)","840","0.27610000000000001","ReMap ChIP-seq,0.2761"
"GRHL2","4.141235190092165119","4.141235190092165119","4.141235190092165119","Activated","18","viper","18","4.141235190092165119",NA,NA,"5","Literature--ChIP-seq(rank=75); ReMap--ChIP-seq(rank=78); GTEx--Coexpression(rank=207); ARCHS4--Coexpression(rank=293); Enrichr--Queries(rank=665)","497","0.12880000000000000","GTEx Coexpression,0.1288"
"SREBF1","4.093098265480073827","4.093098265480073827","4.093098265480073827","Activated","19","viper","19","4.093098265480073827",NA,NA,"6","ENCODE--ChIP-seq(rank=62); Literature--ChIP-seq(rank=134); ReMap--ChIP-seq(rank=271); GTEx--Coexpression(rank=657); Enrichr--Queries(rank=901); ARCHS4--Coexpression(rank=1229)","1076","0.40880000000000000","GTEx Coexpression,0.4088"
"HOXB13","3.884010616619675726","3.884010616619675726","3.884010616619675726","Activated","20","viper","20","3.884010616619675726",NA,NA,"4","Enrichr--Queries(rank=229); ReMap--ChIP-seq(rank=237); ARCHS4--Coexpression(rank=635); GTEx--Coexpression(rank=727)","591","0.16309999999999999","Enrichr Queries,0.1631"
"ZNF143","3.866223729830880362","3.866223729830880362","3.866223729830880362","Activated","21","viper","21","3.866223729830880362",NA,NA,"5","ENCODE--ChIP-seq(rank=34); ReMap--ChIP-seq(rank=195); ARCHS4--Coexpression(rank=1045); Enrichr--Queries(rank=1171); GTEx--Coexpression(rank=1176)","863","0.28810000000000002","ENCODE ChIP-seq,0.2881"
