"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ChEA3","ENRICHR","CollecTRI"
"1","SMAD4","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","47.66666666666666","29","5","Literature--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=40); GTEx--Coexpression(rank=1094); Enrichr--Queries(rank=1366); ARCHS4--Coexpression(rank=1571)","83","rank=83; score=0.01829","rank=29; score=44.014; p=5.1822e-11; adjP=2.4324e-09","rank=31; score=2.7868; p=0.0053237; direction=Activated"
"2","TP63","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","50.33333333333334","15","5","Literature--ChIP-seq(rank=17); Enrichr--Queries(rank=21); GTEx--Coexpression(rank=55); ReMap--ChIP-seq(rank=70); ARCHS4--Coexpression(rank=307)","68","rank=68; score=0.01496","rank=15; score=21.905; p=6.4606e-07; adjP=1.7328e-05","rank=68; score=2.2896; p=0.022042; direction=Activated"
"3","SOX2","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","68.33333333333333","17","5","Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=118); GTEx--Coexpression(rank=221); ARCHS4--Coexpression(rank=400); Enrichr--Queries(rank=557)","54","rank=54; score=0.0122","rank=17; score=45.967; p=3.7536e-11; adjP=1.8793e-09","rank=134; score=1.7487; p=0.080344; direction=Activated"
"4","REST","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","74.33333333333333","8","6","ENCODE--ChIP-seq(rank=1); Literature--ChIP-seq(rank=8); GTEx--Coexpression(rank=11); ReMap--ChIP-seq(rank=21); ARCHS4--Coexpression(rank=356); Enrichr--Queries(rank=1270)","30","rank=30; score=0.006845","rank=8; score=23.534; p=7.7008e-07; adjP=1.9278e-05","rank=185; score=1.5336; p=0.12514; direction=Repressed"
"5","TWIST2","ChEA3;ENRICHR;CollecTRI","4","ChEA3;ENRICHR;TRRUST;CollecTRI","85.66666666666667","20","2","GTEx--Coexpression(rank=8); ARCHS4--Coexpression(rank=43)","20","rank=20; score=0.004978","rank=208; score=6.5938; p=0.10159; adjP=0.45168","rank=29; score=2.8078; p=0.0049887; direction=Activated"
"6","RUNX2","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","91.33333333333333","16","5","ReMap--ChIP-seq(rank=6); GTEx--Coexpression(rank=24); Literature--ChIP-seq(rank=35); Enrichr--Queries(rank=253); ARCHS4--Coexpression(rank=460)","67","rank=67; score=0.01493","rank=191; score=12.719; p=0.00011955; adjP=0.0013298","rank=16; score=3.0355; p=0.0024014; direction=Activated"
"7","AR","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","97.33333333333334","11","5","Literature--ChIP-seq(rank=9); ReMap--ChIP-seq(rank=85); Enrichr--Queries(rank=108); GTEx--Coexpression(rank=510); ARCHS4--Coexpression(rank=529)","240","rank=240; score=0.05488","rank=11; score=18.012; p=5.66e-06; adjP=0.00010367","rank=41; score=2.5539; p=0.010654; direction=Activated"
"8","ESR1","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","106.66666666666667","35","6","ENCODE--ChIP-seq(rank=4); Literature--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=41); GTEx--Coexpression(rank=132); ARCHS4--Coexpression(rank=320); Enrichr--Queries(rank=456)","110","rank=110; score=0.02439","rank=35; score=40.995; p=1.8888e-09; adjP=8.3439e-08","rank=175; score=1.5914; p=0.11152; direction=Activated"
"9","WT1","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","108.33333333333333","72","4","Literature--ChIP-seq(rank=6); GTEx--Coexpression(rank=249); Enrichr--Queries(rank=258); ARCHS4--Coexpression(rank=277)","165","rank=165; score=0.03659","rank=72; score=24.983; p=1.3291e-07; adjP=3.9927e-06","rank=88; score=2.0774; p=0.037768; direction=Activated"
"10","FOXP2","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","113.00000000000000","64","6","Enrichr--Queries(rank=20); ENCODE--ChIP-seq(rank=31); ReMap--ChIP-seq(rank=43); Literature--ChIP-seq(rank=101); GTEx--Coexpression(rank=548); ARCHS4--Coexpression(rank=648)","64","rank=64; score=0.01425","rank=126; score=5.9818; p=0.2135; adjP=0.3858","rank=149; score=1.6892; p=0.091177; direction=Activated"
