"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ChEA3","ENRICHR"
"1","ATF4","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","7.0","1","4","ReMap--ChIP-seq(rank=1); GTEx--Coexpression(rank=166); Enrichr--Queries(rank=447); ARCHS4--Coexpression(rank=898)","13","rank=13; score=0.003367","rank=1; score=96.682; p=4.4787e-06; adjP=0.001693"
"2","SOX2","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","13.5","3","5","Literature--ChIP-seq(rank=1); Enrichr--Queries(rank=190); ReMap--ChIP-seq(rank=284); GTEx--Coexpression(rank=453); ARCHS4--Coexpression(rank=678)","24","rank=24; score=0.006098","rank=3; score=169.24; p=3.3878e-28; adjP=2.5375e-25"
"3","ZNF217","ChEA3;ENRICHR","4","DoRothEA;ChEA3;VIPER;ENRICHR","23.5","12","6","ENCODE--ChIP-seq(rank=1); Literature--ChIP-seq(rank=8); ReMap--ChIP-seq(rank=171); Enrichr--Queries(rank=221); ARCHS4--Coexpression(rank=458); GTEx--Coexpression(rank=1091)","35","rank=35; score=0.008475","rank=12; score=31.496; p=4.1956e-08; adjP=1.649e-06"
"4","FOXM1","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","28.0","10","6","GTEx--Coexpression(rank=4); Enrichr--Queries(rank=15); ENCODE--ChIP-seq(rank=39); Literature--ChIP-seq(rank=54); ARCHS4--Coexpression(rank=99); ReMap--ChIP-seq(rank=191)","10","rank=10; score=0.002489","rank=46; score=55.867; p=6.3885e-05; adjP=0.00071418"
"5","E2F1","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","30.5","8","6","Enrichr--Queries(rank=3); GTEx--Coexpression(rank=5); ARCHS4--Coexpression(rank=45); ENCODE--ChIP-seq(rank=57); Literature--ChIP-seq(rank=83); ReMap--ChIP-seq(rank=267)","8","rank=8; score=0.002137","rank=53; score=14.987; p=0.0023407; adjP=0.057386"
"6","MBD3","ChEA3;ENRICHR","2","ChEA3;ENRICHR","31.0","27","4","ReMap--ChIP-seq(rank=2); GTEx--Coexpression(rank=817); Enrichr--Queries(rank=1218); ARCHS4--Coexpression(rank=1249)","27","rank=27; score=0.006734","rank=35; score=33.169; p=1.0146e-09; adjP=8.4439e-08"
"7","CBX2","ChEA3;ENRICHR","2","ChEA3;ENRICHR","32.5","25","5","ENCODE--ChIP-seq(rank=2); Enrichr--Queries(rank=13); ReMap--ChIP-seq(rank=19); ARCHS4--Coexpression(rank=308); GTEx--Coexpression(rank=1404)","40","rank=40; score=0.009259","rank=25; score=8.644; p=0.0016822; adjP=0.0891"
"8","EGR1","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","38.5","2","6","Literature--ChIP-seq(rank=3); ENCODE--ChIP-seq(rank=18); ReMap--ChIP-seq(rank=254); GTEx--Coexpression(rank=380); Enrichr--Queries(rank=595); ARCHS4--Coexpression(rank=611)","75","rank=75; score=0.01829","rank=2; score=41.213; p=8.8835e-12; adjP=1.3308e-09"
"9","GATA3","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","40.5","37","6","ENCODE--ChIP-seq(rank=4); ARCHS4--Coexpression(rank=14); Literature--ChIP-seq(rank=31); ReMap--ChIP-seq(rank=42); Enrichr--Queries(rank=127); GTEx--Coexpression(rank=204)","37","rank=37; score=0.0086","rank=44; score=18.49; p=8.9133e-06; adjP=0.00013841"
"10","FOXA1","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","41.5","28","6","ARCHS4--Coexpression(rank=11); ENCODE--ChIP-seq(rank=22); Literature--ChIP-seq(rank=33); Enrichr--Queries(rank=35); ReMap--ChIP-seq(rank=59); GTEx--Coexpression(rank=233)","28","rank=28; score=0.006757","rank=55; score=23.943; p=1.4689e-07; adjP=4.7835e-06"
