"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","ChEA3","ENRICHR","TRRUST"
"1","TFDP1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","3.50","2","4","GTEx--Coexpression(rank=3); Enrichr--Queries(rank=15); ARCHS4--Coexpression(rank=21); ReMap--ChIP-seq(rank=73)","5","rank=3; score=6.3165; p=4.8254e-07","rank=5; score=0.001867","rank=4; score=730.3; p=7.9871e-08; adjP=1.4976e-05","rank=2; score=7.0976; p=7.9882e-08"
"2","E2F4","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","5.75","1","6","ENCODE--ChIP-seq(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=28); Enrichr--Queries(rank=432); ARCHS4--Coexpression(rank=896); GTEx--Coexpression(rank=1406)","20","rank=1; score=24.651; p=2.2327e-25","rank=20; score=0.006098","rank=1; score=470.57; p=1.7344e-37; adjP=1.8038e-35","rank=1; score=9.7365; p=1.8343e-10"
"3","E2F1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6.75","2","6","ENCODE--ChIP-seq(rank=3); GTEx--Coexpression(rank=6); Enrichr--Queries(rank=7); Literature--ChIP-seq(rank=7); ReMap--ChIP-seq(rank=59); ARCHS4--Coexpression(rank=65)","14","rank=2; score=11.422; p=3.7811e-12","rank=14; score=0.003734","rank=8; score=61.899; p=3.4353e-08; adjP=1.7154e-06","rank=3; score=6.7032; p=1.9807e-07"
"4","ZBTB7A","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","25.75","11","5","ReMap--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=5); ARCHS4--Coexpression(rank=121); GTEx--Coexpression(rank=123); Enrichr--Queries(rank=632)","11","rank=19; score=2.2884; p=0.0051474","rank=11; score=0.003367","rank=41; score=32.589; p=0.0051613; adjP=0.06894","rank=32; score=1.4856; p=0.03269"
"5","TP53","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","33.75","9","5","ARCHS4--Coexpression(rank=36); Literature--ChIP-seq(rank=39); ReMap--ChIP-seq(rank=96); Enrichr--Queries(rank=156); GTEx--Coexpression(rank=189)","84","rank=11; score=3.9053; p=0.00012435","rank=84; score=0.02211","rank=31; score=15.502; p=0.00027808; adjP=0.0022639","rank=9; score=2.8411; p=0.0014419"
"6","JUN","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","39.75","21","6","ARCHS4--Coexpression(rank=19); ENCODE--ChIP-seq(rank=25); Literature--ChIP-seq(rank=96); ReMap--ChIP-seq(rank=102); Enrichr--Queries(rank=184); GTEx--Coexpression(rank=383)","44","rank=68; score=0.81992; p=0.15138","rank=44; score=0.01167","rank=26; score=15.08; p=0.0015986; adjP=0.0089687","rank=21; score=1.764; p=0.017219"
"7","E2F3","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","51.50","8","3","ARCHS4--Coexpression(rank=26); Enrichr--Queries(rank=27); GTEx--Coexpression(rank=1365)","62","rank=8; score=4.7124; p=1.9393e-05","rank=62; score=0.01597","rank=111; score=21.24; p=0.024399; adjP=0.23894","rank=25; score=1.6126; p=0.024399"
"8","E2F6","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","53.00","6","5","ENCODE--ChIP-seq(rank=11); ReMap--ChIP-seq(rank=13); Enrichr--Queries(rank=166); ARCHS4--Coexpression(rank=419); GTEx--Coexpression(rank=1168)","169","rank=25; score=1.6718; p=0.021289","rank=169; score=0.04377","rank=6; score=79.956; p=8.5662e-07; adjP=4.4544e-05","rank=12; score=2.4274; p=0.0037373"
"9","FOXM1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","57.50","10","6","ENCODE--ChIP-seq(rank=2); Literature--ChIP-seq(rank=4); GTEx--Coexpression(rank=5); Enrichr--Queries(rank=6); ARCHS4--Coexpression(rank=30); ReMap--ChIP-seq(rank=46)","10","rank=162; score=0.29076; p=0.51196","rank=10; score=0.003111","rank=11; score=48.624; p=9.0052e-10; adjP=8.4311e-08","rank=47; score=1.3006; p=0.050054"
"10","MYCN","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","63.50","5","5","ReMap--ChIP-seq(rank=24); Literature--ChIP-seq(rank=46); ARCHS4--Coexpression(rank=91); Enrichr--Queries(rank=136); GTEx--Coexpression(rank=303)","218","rank=9; score=4.7124; p=1.9393e-05","rank=218; score=0.0559","rank=22; score=38.458; p=0.00030443; adjP=0.0024518","rank=5; score=3.4875; p=0.00032549"
