"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","ChEA3","VIPER"
"1","ZBTB7A","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","29.00000000000000","4","5","ReMap--ChIP-seq(rank=2); ENCODE--ChIP-seq(rank=9); GTEx--Coexpression(rank=124); ARCHS4--Coexpression(rank=348); Enrichr--Queries(rank=977)","28","rank=55; score=1.9867; p=0.010312","rank=28; score=0.006734","rank=4; score=6.2324; direction=Repressed"
"2","PRDM14","DoRothEA;ChEA3;VIPER","4","DoRothEA;ChEA3;VIPER;ENRICHR","42.33333333333334","2","5","ReMap--ChIP-seq(rank=7); Literature--ChIP-seq(rank=27); ARCHS4--Coexpression(rank=426); Enrichr--Queries(rank=891); GTEx--Coexpression(rank=1014)","103","rank=22; score=3.195; p=0.00063833","rank=103; score=0.02357","rank=2; score=6.8956; direction=Activated"
"3","KLF5","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","46.66666666666667","4","5","GTEx--Coexpression(rank=7); ARCHS4--Coexpression(rank=9); ReMap--ChIP-seq(rank=18); Enrichr--Queries(rank=29); Literature--ChIP-seq(rank=56)","20","rank=4; score=4.8917; p=1.2832e-05","rank=20; score=0.004356","rank=116; score=1.427; direction=Activated"
"4","NFE2L2","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","55.66666666666666","39","5","GTEx--Coexpression(rank=16); Literature--ChIP-seq(rank=36); ReMap--ChIP-seq(rank=144); ARCHS4--Coexpression(rank=185); Enrichr--Queries(rank=380)","45","rank=83; score=1.4238; p=0.037685","rank=45; score=0.009956","rank=39; score=2.9419; direction=Repressed"
"5","MBD2","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","60.66666666666666","22","4","ReMap--ChIP-seq(rank=6); GTEx--Coexpression(rank=820); ARCHS4--Coexpression(rank=954); Enrichr--Queries(rank=1082)","89","rank=71; score=1.6447; p=0.022664","rank=89; score=0.0202","rank=22; score=3.5111; direction=Activated"
"6","TCF7L2","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","65.66666666666667","3","6","ReMap--ChIP-seq(rank=4); ENCODE--ChIP-seq(rank=19); Literature--ChIP-seq(rank=80); GTEx--Coexpression(rank=188); Enrichr--Queries(rank=382); ARCHS4--Coexpression(rank=709)","57","rank=3; score=5.4591; p=3.4749e-06","rank=57; score=0.01347","rank=137; score=1.2546; direction=Activated"
"7","NR2F1","DoRothEA;ChEA3;VIPER","5","DoRothEA;ChEA3;VIPER;TRRUST;CollecTRI","68.66666666666667","5","4","ReMap--ChIP-seq(rank=11); ARCHS4--Coexpression(rank=42); Enrichr--Queries(rank=122); GTEx--Coexpression(rank=383)","113","rank=88; score=1.3123; p=0.048722","rank=113; score=0.0258","rank=5; score=6.2086; direction=Activated"
"8","TCF12","DoRothEA;ChEA3;VIPER","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","70.33333333333333","67","5","ENCODE--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=48); ARCHS4--Coexpression(rank=243); GTEx--Coexpression(rank=415); Enrichr--Queries(rank=801)","72","rank=67; score=1.7246; p=0.018855","rank=72; score=0.01695","rank=72; score=2.069; direction=Activated"
"9","SNAI2","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","74.33333333333333","66","4","ReMap--ChIP-seq(rank=26); ARCHS4--Coexpression(rank=29); Enrichr--Queries(rank=71); GTEx--Coexpression(rank=422)","77","rank=66; score=1.7759; p=0.016754","rank=77; score=0.01781","rank=80; score=1.8536; direction=Repressed"
"10","HIF1A","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","79.33333333333333","5","5","ReMap--ChIP-seq(rank=13); Literature--ChIP-seq(rank=69); ARCHS4--Coexpression(rank=99); Enrichr--Queries(rank=364); GTEx--Coexpression(rank=923)","186","rank=5; score=4.8696; p=1.3502e-05","rank=186; score=0.04377","rank=47; score=2.669; direction=Repressed"
