"TF","HD_ALL","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"E2F4","7.014566482726653618","7.014566482726653618","7.014566482726653618","Activated","1","viper","1","7.014566482726653618",NA,NA,"6","ENCODE--ChIP-seq(rank=13); Literature--ChIP-seq(rank=55); ReMap--ChIP-seq(rank=181); Enrichr--Queries(rank=465); GTEx--Coexpression(rank=473); ARCHS4--Coexpression(rank=1018)","441","0.110200000000000006","ENCODE ChIP-seq,0.1102"
"ATF4","-5.298043104020333516","-5.298043104020333516","5.298043104020333516","Repressed","2","viper","2","5.298043104020333516",NA,NA,"4","ReMap--ChIP-seq(rank=1); GTEx--Coexpression(rank=166); Enrichr--Queries(rank=447); ARCHS4--Coexpression(rank=898)","13","0.003367000000000000","ReMap ChIP-seq,0.003367"
"E2F2","5.289663759876575000","5.289663759876575000","5.289663759876575000","Activated","3","viper","3","5.289663759876575000",NA,NA,"3","Enrichr--Queries(rank=12); ARCHS4--Coexpression(rank=16); GTEx--Coexpression(rank=849)","36","0.008547000000000001","Enrichr Queries,0.008547"
"E2F1","5.174585571055439814","5.174585571055439814","5.174585571055439814","Activated","4","viper","4","5.174585571055439814",NA,NA,"6","Enrichr--Queries(rank=3); GTEx--Coexpression(rank=5); ARCHS4--Coexpression(rank=45); ENCODE--ChIP-seq(rank=57); Literature--ChIP-seq(rank=83); ReMap--ChIP-seq(rank=267)","8","0.002137000000000000","Enrichr Queries,0.002137"
"MYCN","4.579913857740045557","4.579913857740045557","4.579913857740045557","Activated","5","viper","5","4.579913857740045557",NA,NA,"5","GTEx--Coexpression(rank=63); Literature--ChIP-seq(rank=119); Enrichr--Queries(rank=124); ReMap--ChIP-seq(rank=222); ARCHS4--Coexpression(rank=689)","160","0.039199999999999999","GTEx Coexpression,0.0392"
"TFDP1","3.860395076910609902","3.860395076910609902","3.860395076910609902","Activated","6","viper","6","3.860395076910609902",NA,NA,"4","GTEx--Coexpression(rank=17); Enrichr--Queries(rank=74); ARCHS4--Coexpression(rank=124); ReMap--ChIP-seq(rank=231)","46","0.010580000000000001","GTEx Coexpression,0.01058"
"SIX5","3.727853271283762648","3.727853271283762648","3.727853271283762648","Activated","7","viper","7","3.727853271283762648",NA,NA,"5","ENCODE--ChIP-seq(rank=103); ReMap--ChIP-seq(rank=189); GTEx--Coexpression(rank=216); Enrichr--Queries(rank=662); ARCHS4--Coexpression(rank=663)","516","0.134399999999999992","GTEx Coexpression,0.1344"
"E2F3","3.711029492568199029","3.711029492568199029","3.711029492568199029","Activated","8","viper","8","3.711029492568199029",NA,NA,"3","Enrichr--Queries(rank=80); ARCHS4--Coexpression(rank=281); GTEx--Coexpression(rank=1205)","229","0.056980000000000003","Enrichr Queries,0.05698"
"GRHL2","-3.682854170740610389","-3.682854170740610389","3.682854170740610389","Repressed","9","viper","9","3.682854170740610389",NA,NA,"5","ARCHS4--Coexpression(rank=2); GTEx--Coexpression(rank=3); ReMap--ChIP-seq(rank=4); Enrichr--Queries(rank=26); Literature--ChIP-seq(rank=79)","4","0.001229000000000000","ARCHS4 Coexpression,0.001229"
"NR2F6","3.546077240975648692","3.546077240975648692","3.546077240975648692","Activated","10","viper","10","3.546077240975648692",NA,NA,"4","ReMap--ChIP-seq(rank=25); ARCHS4--Coexpression(rank=233); GTEx--Coexpression(rank=303); Enrichr--Queries(rank=668)","347","0.084180000000000005","ReMap ChIP-seq,0.08418"
"KLF5","-3.425089903460166951","-3.425089903460166951","3.425089903460166951","Repressed","11","viper","11","3.425089903460166951",NA,NA,"5","ARCHS4--Coexpression(rank=1); ReMap--ChIP-seq(rank=28); GTEx--Coexpression(rank=35); Literature--ChIP-seq(rank=65); Enrichr--Queries(rank=166)","1","0.000614300000000000","ARCHS4 Coexpression,6.143E-4"
"IRF2","3.358676441671026858","3.358676441671026858","3.358676441671026858","Activated","12","viper","12","3.358676441671026858",NA,NA,"4","ReMap--ChIP-seq(rank=224); ARCHS4--Coexpression(rank=304); GTEx--Coexpression(rank=376); Enrichr--Queries(rank=624)","674","0.186700000000000005","ARCHS4 Coexpression,0.1867"
"STAT2","3.287173085189845967","3.287173085189845967","3.287173085189845967","Activated","13","viper","13","3.287173085189845967",NA,NA,"5","ENCODE--ChIP-seq(rank=68); ReMap--ChIP-seq(rank=113); ARCHS4--Coexpression(rank=475); GTEx--Coexpression(rank=657); Enrichr--Queries(rank=785)","946","0.291800000000000004","ARCHS4 Coexpression,0.2918"
"HNF4A","-3.015227313993666503","-3.015227313993666503","3.015227313993666503","Repressed","14","viper","14","3.015227313993666503",NA,NA,"6","Literature--ChIP-seq(rank=7); ReMap--ChIP-seq(rank=18); ENCODE--ChIP-seq(rank=37); ARCHS4--Coexpression(rank=188); Enrichr--Queries(rank=378); GTEx--Coexpression(rank=968)","173","0.042680000000000003","Literature ChIP-seq,0.04268"
"E2F7","2.909389119909139954","2.909389119909139954","2.909389119909139954","Activated","15","viper","15","2.909389119909139954",NA,NA,"5","Enrichr--Queries(rank=5); ARCHS4--Coexpression(rank=18); GTEx--Coexpression(rank=21); Literature--ChIP-seq(rank=24); ReMap--ChIP-seq(rank=64)","14","0.003561000000000000","Enrichr Queries,0.003561"
"KLF13","-2.815991661361297194","-2.815991661361297194","2.815991661361297194","Repressed","16","viper","16","2.815991661361297194",NA,NA,"4","ReMap--ChIP-seq(rank=207); ARCHS4--Coexpression(rank=498); GTEx--Coexpression(rank=734); Enrichr--Queries(rank=767)","985","0.305900000000000005","ARCHS4 Coexpression,0.3059"
"FOXO1","-2.812275063143651277","-2.812275063143651277","2.812275063143651277","Repressed","17","viper","17","2.812275063143651277",NA,NA,"5","Literature--ChIP-seq(rank=11); ReMap--ChIP-seq(rank=159); ARCHS4--Coexpression(rank=408); Enrichr--Queries(rank=518); GTEx--Coexpression(rank=725)","271","0.067070000000000005","Literature ChIP-seq,0.06707"
"NR2F1","-2.794901929440836597","-2.794901929440836597","2.794901929440836597","Repressed","18","viper","18","2.794901929440836597",NA,NA,"4","ReMap--ChIP-seq(rank=67); ARCHS4--Coexpression(rank=509); GTEx--Coexpression(rank=572); Enrichr--Queries(rank=579)","774","0.225599999999999995","ReMap ChIP-seq,0.2256"
"EHF","-2.733133760137493873","-2.733133760137493873","2.733133760137493873","Repressed","19","viper","19","2.733133760137493873",NA,NA,"4","ARCHS4--Coexpression(rank=5); ReMap--ChIP-seq(rank=23); GTEx--Coexpression(rank=26); Enrichr--Queries(rank=253)","12","0.003071000000000000","ARCHS4 Coexpression,0.003071"
"THAP11","-2.695173628239160735","-2.695173628239160735","2.695173628239160735","Repressed","20","viper","20","2.695173628239160735",NA,NA,"5","ReMap--ChIP-seq(rank=72); Literature--ChIP-seq(rank=161); ARCHS4--Coexpression(rank=396); Enrichr--Queries(rank=701); GTEx--Coexpression(rank=1366)","818","0.242400000000000004","ReMap ChIP-seq,0.2424"
"ZNF263","2.684439898639933819","2.684439898639933819","2.684439898639933819","Activated","21","viper","21","2.684439898639933819",NA,NA,"6","ENCODE--ChIP-seq(rank=33); Literature--ChIP-seq(rank=75); ReMap--ChIP-seq(rank=190); Enrichr--Queries(rank=403); GTEx--Coexpression(rank=907); ARCHS4--Coexpression(rank=1400)","916","0.279700000000000004","ENCODE ChIP-seq,0.2797"
"ETS1","2.683055768305222522","2.683055768305222522","2.683055768305222522","Activated","22","viper","22","2.683055768305222522",NA,NA,"6","ENCODE--ChIP-seq(rank=15); Literature--ChIP-seq(rank=163); ARCHS4--Coexpression(rank=218); ReMap--ChIP-seq(rank=246); GTEx--Coexpression(rank=570); Enrichr--Queries(rank=676)","490","0.127099999999999991","ENCODE ChIP-seq,0.1271"
"PRDM14","-2.674586861169595320","-2.674586861169595320","2.674586861169595320","Repressed","23","viper","23","2.674586861169595320",NA,NA,"5","Literature--ChIP-seq(rank=36); ReMap--ChIP-seq(rank=105); ARCHS4--Coexpression(rank=610); Enrichr--Queries(rank=1070); GTEx--Coexpression(rank=1469)","758","0.219500000000000001","Literature ChIP-seq,0.2195"
"MAFB","-2.643281985159223968","-2.643281985159223968","2.643281985159223968","Repressed","24","viper","24","2.643281985159223968",NA,NA,"4","ReMap--ChIP-seq(rank=71); GTEx--Coexpression(rank=151); ARCHS4--Coexpression(rank=560); Enrichr--Queries(rank=1132)","385","0.093960000000000002","GTEx Coexpression,0.09396"
"FOXM1","2.623918098785749109","2.623918098785749109","2.623918098785749109","Activated","25","viper","25","2.623918098785749109",NA,NA,"6","GTEx--Coexpression(rank=4); Enrichr--Queries(rank=15); ENCODE--ChIP-seq(rank=39); Literature--ChIP-seq(rank=54); ARCHS4--Coexpression(rank=99); ReMap--ChIP-seq(rank=191)","10","0.002489000000000000","GTEx Coexpression,0.002489"
"MAZ","2.495947439106234178","2.495947439106234178","2.495947439106234178","Activated","26","viper","26","2.495947439106234178",NA,NA,"5","ENCODE--ChIP-seq(rank=36); ReMap--ChIP-seq(rank=132); Enrichr--Queries(rank=879); ARCHS4--Coexpression(rank=1050); GTEx--Coexpression(rank=1060)","982","0.305099999999999982","ENCODE ChIP-seq,0.3051"
