"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ENRICHR","TRRUST","CollecTRI"
"1","E2F4","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","23.00000000000000","1","6","ENCODE--ChIP-seq(rank=43); ReMap--ChIP-seq(rank=103); Literature--ChIP-seq(rank=132); ARCHS4--Coexpression(rank=1197); Enrichr--Queries(rank=1221); GTEx--Coexpression(rank=1496)","967","rank=17; score=14.343; p=0.012956; adjP=0.12024","rank=51; score=1.6978; p=0.020055","rank=1; score=5.6558; p=1.5516e-08; direction=Repressed"
"2","HOXA1","ENRICHR;TRRUST;CollecTRI","4","ChEA3;ENRICHR;TRRUST;CollecTRI","25.33333333333333","10","3","GTEx--Coexpression(rank=272); Enrichr--Queries(rank=273); ARCHS4--Coexpression(rank=400)","573","rank=42; score=127.3; p=0.00072616; adjP=0.023987","rank=10; score=3.139; p=0.00072618","rank=24; score=2.5376; p=0.01116; direction=Activated"
"3","SREBF2","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","35.66666666666666","11","6","ENCODE--ChIP-seq(rank=58); Literature--ChIP-seq(rank=71); ReMap--ChIP-seq(rank=116); GTEx--Coexpression(rank=139); Enrichr--Queries(rank=533); ARCHS4--Coexpression(rank=1145)","330","rank=79; score=35.215; p=0.0019989; adjP=0.038978","rank=17; score=2.6992; p=0.0019989","rank=11; score=3.1408; p=0.001685; direction=Repressed"
"4","NFE2L2","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","41.66666666666666","27","5","GTEx--Coexpression(rank=16); Literature--ChIP-seq(rank=36); ReMap--ChIP-seq(rank=144); ARCHS4--Coexpression(rank=185); Enrichr--Queries(rank=380)","45","rank=27; score=17.376; p=0.00015464; adjP=0.0007343","rank=54; score=1.6452; p=0.022634","rank=44; score=2.1649; p=0.030396; direction=Repressed"
"5","SOX2","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","43.00000000000000","9","5","Literature--ChIP-seq(rank=2); ARCHS4--Coexpression(rank=126); ReMap--ChIP-seq(rank=161); GTEx--Coexpression(rank=289); Enrichr--Queries(rank=351)","54","rank=9; score=138.59; p=9.2005e-27; adjP=2.3155e-24","rank=47; score=1.7789; p=0.016639","rank=73; score=1.8668; p=0.061923; direction=Activated"
"6","STAT4","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","43.33333333333334","13","4","Literature--ChIP-seq(rank=147); Enrichr--Queries(rank=766); ARCHS4--Coexpression(rank=981); GTEx--Coexpression(rank=1046)","1313","rank=13; score=16.224; p=0.011973; adjP=0.16638","rank=68; score=1.4238; p=0.037685","rank=49; score=2.0916; p=0.036474; direction=Activated"
"7","REST","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","44.00000000000000","2","6","ENCODE--ChIP-seq(rank=17); ReMap--ChIP-seq(rank=37); Literature--ChIP-seq(rank=40); GTEx--Coexpression(rank=214); ARCHS4--Coexpression(rank=320); Enrichr--Queries(rank=1158)","443","rank=39; score=13.735; p=6.1581e-05; adjP=0.00035764","rank=91; score=1.1461; p=0.071427","rank=2; score=4.5297; p=5.9065e-06; direction=Activated"
"8","NFKB1","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","49.66666666666667","3","4","ReMap--ChIP-seq(rank=141); ARCHS4--Coexpression(rank=378); Enrichr--Queries(rank=432); GTEx--Coexpression(rank=1213)","727","rank=10; score=40.843; p=4.5761e-12; adjP=1.7633e-10","rank=3; score=4.6884; p=2.0495e-05","rank=136; score=1.5706; p=0.11628; direction=Activated"
"9","TFAP2A","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","59.00000000000000","32","6","ENCODE--ChIP-seq(rank=23); Enrichr--Queries(rank=86); ReMap--ChIP-seq(rank=98); ARCHS4--Coexpression(rank=102); Literature--ChIP-seq(rank=109); GTEx--Coexpression(rank=169)","243","rank=32; score=11.034; p=0.010594; adjP=0.079964","rank=40; score=1.975; p=0.010594","rank=105; score=1.7048; p=0.088233; direction=Activated"
"10","MYC","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","68.66666666666667","3","6","Literature--ChIP-seq(rank=68); ENCODE--ChIP-seq(rank=69); ReMap--ChIP-seq(rank=114); Enrichr--Queries(rank=194); GTEx--Coexpression(rank=547); ARCHS4--Coexpression(rank=1428)","490","rank=165; score=9.8443; p=0.0029845; adjP=0.0088366","rank=38; score=1.9829; p=0.010403","rank=3; score=4.1422; p=3.4401e-05; direction=Repressed"
