"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","ChEA3","ENRICHR","TRRUST"
"1","REST","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","29.00","6","6","ENCODE--ChIP-seq(rank=2); Literature--ChIP-seq(rank=9); GTEx--Coexpression(rank=27); ReMap--ChIP-seq(rank=49); ARCHS4--Coexpression(rank=770); Enrichr--Queries(rank=1076)","75","rank=25; score=2.5023; p=0.0031452","rank=75; score=0.0168","rank=10; score=47.586; p=3.5132e-10; adjP=6.9431e-09","rank=6; score=3.5832; p=0.00026109"
"2","WT1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","31.25","4","4","Literature--ChIP-seq(rank=4); Enrichr--Queries(rank=157); GTEx--Coexpression(rank=329); ARCHS4--Coexpression(rank=384)","105","rank=7; score=4.5274; p=2.9688e-05","rank=105; score=0.02439","rank=9; score=74.951; p=1.436e-17; adjP=5.6758e-16","rank=4; score=4.2952; p=5.0673e-05"
"3","ATF4","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","32.50","2","4","ReMap--ChIP-seq(rank=8); GTEx--Coexpression(rank=105); Enrichr--Queries(rank=1175); ARCHS4--Coexpression(rank=1559)","118","rank=4; score=4.9605; p=1.0953e-05","rank=118; score=0.02694","rank=6; score=78.259; p=1.253e-05; adjP=0.0024872","rank=2; score=4.902; p=1.2531e-05"
"4","AR","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","50.00","10","5","Literature--ChIP-seq(rank=26); ReMap--ChIP-seq(rank=39); Enrichr--Queries(rank=45); ARCHS4--Coexpression(rank=549); GTEx--Coexpression(rank=636)","141","rank=28; score=2.4216; p=0.003788","rank=141; score=0.03205","rank=21; score=26.572; p=1.568e-07; adjP=1.9626e-06","rank=10; score=3.2706; p=0.00053626"
"5","RUNX2","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","53.25","2","5","ReMap--ChIP-seq(rank=5); Literature--ChIP-seq(rank=12); GTEx--Coexpression(rank=26); Enrichr--Queries(rank=65); ARCHS4--Coexpression(rank=208)","72","rank=2; score=5.0346; p=9.2347e-06","rank=72; score=0.01618","rank=81; score=46.855; p=2.4728e-12; adjP=6.8779e-11","rank=58; score=1.08; p=0.083178"
"6","SOX10","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","59.50","19","4","GTEx--Coexpression(rank=8); ReMap--ChIP-seq(rank=47); ARCHS4--Coexpression(rank=299); Enrichr--Queries(rank=395)","22","rank=132; score=0.66052; p=0.21851","rank=22; score=0.004978","rank=65; score=60.374; p=0.0021915; adjP=0.04037","rank=19; score=2.6593; p=0.0021915"
"7","HIF1A","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","63.25","1","5","Literature--ChIP-seq(rank=43); GTEx--Coexpression(rank=77); ReMap--ChIP-seq(rank=92); ARCHS4--Coexpression(rank=134); Enrichr--Queries(rank=927)","205","rank=1; score=5.7539; p=1.7623e-06","rank=205; score=0.04792","rank=36; score=24.062; p=0.00010456; adjP=0.00054155","rank=11; score=3.245; p=0.00056881"
"8","SMAD4","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","65.50","17","5","ReMap--ChIP-seq(rank=12); Literature--ChIP-seq(rank=17); GTEx--Coexpression(rank=1211); Enrichr--Queries(rank=1256); ARCHS4--Coexpression(rank=1350)","176","rank=49; score=1.836; p=0.014589","rank=176; score=0.0404","rank=17; score=37.996; p=5.1761e-10; adjP=9.9674e-09","rank=20; score=2.6163; p=0.0024195"
"9","ESR1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","66.50","32","6","Literature--ChIP-seq(rank=3); ENCODE--ChIP-seq(rank=5); ReMap--ChIP-seq(rank=31); GTEx--Coexpression(rank=251); Enrichr--Queries(rank=362); ARCHS4--Coexpression(rank=380)","79","rank=32; score=2.2625; p=0.0054641","rank=79; score=0.01829","rank=62; score=77.862; p=2.596e-15; adjP=9.7478e-14","rank=93; score=0.62193; p=0.23882"
"10","STAT2","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","67.75","19","5","ENCODE--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=22); ARCHS4--Coexpression(rank=56); Enrichr--Queries(rank=346); GTEx--Coexpression(rank=1102)","149","rank=19; score=2.9645; p=0.0010852","rank=149; score=0.0339","rank=32; score=13.83; p=0.0010183; adjP=0.080184","rank=71; score=0.92286; p=0.11944"
