"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","VIPER","CollecTRI"
"1","E2F4","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","1.0","1","6","ENCODE--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=32); Literature--ChIP-seq(rank=90); ARCHS4--Coexpression(rank=250); GTEx--Coexpression(rank=573); Enrichr--Queries(rank=779)","69","rank=1; score=9.3811; direction=Activated","rank=1; score=8.1892; p=2.6302e-16; direction=Activated"
"2","E2F2","VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","2.0","2","3","ARCHS4--Coexpression(rank=32); Enrichr--Queries(rank=97); GTEx--Coexpression(rank=787)","80","rank=2; score=6.6254; direction=Activated","rank=2; score=5.3483; p=8.8794e-08; direction=Activated"
"3","GRHL2","VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","5.5","4","5","ARCHS4--Coexpression(rank=1); Enrichr--Queries(rank=3); GTEx--Coexpression(rank=3); ReMap--ChIP-seq(rank=14); Literature--ChIP-seq(rank=129)","1","rank=4; score=5.533; direction=Repressed","rank=7; score=4.4288; p=9.4767e-06; direction=Repressed"
"4","E2F3","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","10.5","10","3","Enrichr--Queries(rank=359); ARCHS4--Coexpression(rank=411); GTEx--Coexpression(rank=826)","815","rank=11; score=4.488; direction=Activated","rank=10; score=3.8054; p=0.00014159; direction=Activated"
"5","HNF1B","VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","11.5","4","3","ARCHS4--Coexpression(rank=23); Enrichr--Queries(rank=70); ReMap--ChIP-seq(rank=196)","55","rank=19; score=4.0025; direction=Repressed","rank=4; score=5.0039; p=5.6177e-07; direction=Repressed"
"6","E2F1","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","11.5","9","6","ARCHS4--Coexpression(rank=9); ENCODE--ChIP-seq(rank=14); GTEx--Coexpression(rank=30); Literature--ChIP-seq(rank=82); ReMap--ChIP-seq(rank=95); Enrichr--Queries(rank=122)","18","rank=14; score=4.2041; direction=Activated","rank=9; score=4.2253; p=2.3865e-05; direction=Activated"
"7","RARA","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","13.5","6","5","ReMap--ChIP-seq(rank=63); Literature--ChIP-seq(rank=151); GTEx--Coexpression(rank=391); Enrichr--Queries(rank=475); ARCHS4--Coexpression(rank=529)","717","rank=21; score=3.9098; direction=Repressed","rank=6; score=4.4836; p=7.3397e-06; direction=Repressed"
"8","TCF4","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","16.0","14","5","Literature--ChIP-seq(rank=36); ReMap--ChIP-seq(rank=72); GTEx--Coexpression(rank=382); Enrichr--Queries(rank=438); ARCHS4--Coexpression(rank=982)","737","rank=18; score=4.0098; direction=Repressed","rank=14; score=3.5407; p=0.00039912; direction=Repressed"
"9","FOXO1","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","18.5","11","5","Literature--ChIP-seq(rank=59); Enrichr--Queries(rank=199); ReMap--ChIP-seq(rank=219); ARCHS4--Coexpression(rank=343); GTEx--Coexpression(rank=422)","523","rank=26; score=3.6186; direction=Repressed","rank=11; score=3.6991; p=0.00021637; direction=Repressed"
"10","FOXO3","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","22.0","8","4","Literature--ChIP-seq(rank=51); Enrichr--Queries(rank=367); GTEx--Coexpression(rank=429); ARCHS4--Coexpression(rank=734)","838","rank=36; score=3.1937; direction=Repressed","rank=8; score=4.3131; p=1.6099e-05; direction=Repressed"
