"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ENRICHR","TRRUST","CollecTRI"
"1","REST","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","17.33333333333333","3","6","ENCODE--ChIP-seq(rank=6); Literature--ChIP-seq(rank=29); ReMap--ChIP-seq(rank=78); ARCHS4--Coexpression(rank=338); GTEx--Coexpression(rank=502); Enrichr--Queries(rank=642)","209","rank=19; score=30.202; p=0.026964; adjP=0.2265","rank=3; score=1.5692; p=0.026964","rank=30; score=2.3185; p=0.020424; direction=Activated"
"2","IRF2","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","26.33333333333333","13","4","ReMap--ChIP-seq(rank=257); ARCHS4--Coexpression(rank=320); Enrichr--Queries(rank=538); GTEx--Coexpression(rank=1289)","686","rank=53; score=49.478; p=0.062247; adjP=0.2854","rank=13; score=1.2059; p=0.062247","rank=13; score=2.6322; p=0.0084843; direction=Activated"
"3","MYC","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","28.66666666666667","1","6","Literature--ChIP-seq(rank=18); ENCODE--ChIP-seq(rank=57); ReMap--ChIP-seq(rank=227); GTEx--Coexpression(rank=739); Enrichr--Queries(rank=1263); ARCHS4--Coexpression(rank=1325)","420","rank=50; score=15.126; p=0.0027718; adjP=0.041653","rank=35; score=0.71959; p=0.19073","rank=1; score=4.1226; p=3.7461e-05; direction=Repressed"
"4","TFDP1","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","42.33333333333334","17","4","ReMap--ChIP-seq(rank=239); Enrichr--Queries(rank=735); ARCHS4--Coexpression(rank=1211); GTEx--Coexpression(rank=1428)","1345","rank=77; score=35.496; p=0.077197; adjP=0.2854","rank=17; score=1.1124; p=0.077197","rank=33; score=2.2197; p=0.026441; direction=Repressed"
"5","USF1","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","44.00000000000000","8","5","ENCODE--ChIP-seq(rank=78); ReMap--ChIP-seq(rank=105); Enrichr--Queries(rank=1163); ARCHS4--Coexpression(rank=1208); GTEx--Coexpression(rank=1362)","1038","rank=103; score=9.3334; p=0.095482; adjP=0.2854","rank=21; score=1.0201; p=0.095483","rank=8; score=2.9534; p=0.0031427; direction=Activated"
"6","VDR","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","47.00000000000000","25","5","Literature--ChIP-seq(rank=50); ReMap--ChIP-seq(rank=229); Enrichr--Queries(rank=518); ARCHS4--Coexpression(rank=1265); GTEx--Coexpression(rank=1397)","933","rank=73; score=4.2982; p=0.071585; adjP=0.26276","rank=43; score=0.54274; p=0.28659","rank=25; score=2.4315; p=0.015038; direction=Activated"
"7","RARA","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","57.00000000000000","34","5","Literature--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=173); GTEx--Coexpression(rank=771); ARCHS4--Coexpression(rank=806); Enrichr--Queries(rank=1100)","81","rank=45; score=24.119; p=7.3563e-05; adjP=0.0038563","rank=34; score=0.72451; p=0.18858","rank=92; score=1.8047; p=0.071116; direction=Activated"
"8","IRF1","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","57.66666666666666","28","6","ENCODE--ChIP-seq(rank=88); Literature--ChIP-seq(rank=103); ReMap--ChIP-seq(rank=130); ARCHS4--Coexpression(rank=293); Enrichr--Queries(rank=408); GTEx--Coexpression(rank=1215)","637","rank=97; score=8.8466; p=0.18203; adjP=0.32986","rank=48; score=0.47308; p=0.33645","rank=28; score=2.3283; p=0.019895; direction=Activated"
"9","PPARG","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","57.66666666666666","53","5","GTEx--Coexpression(rank=10); ReMap--ChIP-seq(rank=47); Literature--ChIP-seq(rank=76); ARCHS4--Coexpression(rank=148); Enrichr--Queries(rank=353)","27","rank=61; score=20.317; p=0.00023114; adjP=0.0092454","rank=53; score=0.38513; p=0.41198","rank=59; score=1.9049; p=0.056795; direction=Activated"
"10","STAT3","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","60.33333333333334","56","6","Literature--ChIP-seq(rank=14); ENCODE--ChIP-seq(rank=42); ReMap--ChIP-seq(rank=190); Enrichr--Queries(rank=840); ARCHS4--Coexpression(rank=872); GTEx--Coexpression(rank=1231)","335","rank=65; score=10.355; p=0.0030427; adjP=0.044531","rank=60; score=0.16643; p=0.68166","rank=56; score=1.9194; p=0.054937; direction=Activated"
