"TF","Best_Rank","Mean_Rank","Library_Count","Best_P_Value","Best_Adjusted_P_Value","Best_Combined_Score","Library","Top_Terms","Rank","Score","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","Method_Direction","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"TDRD3","393","393.000000000000000","1","0.3600100331079689186530856659","0.6595603659993322098742397","1.306878345747059633197","ChEA_2022(rank=393, adjP=0.66)","TDRD3 21172665 ChIP-Seq MCF-7 Human","361","1.306878345747059633197","enrichr","361","1.306878345747059633197","0.3600100331079689186530856659","0.6595603659993322098742397","","0","",NA,NA,NA
"BCL6","396","396.000000000000000","1","0.3700319597344021160800764392","0.6727853813352763223676334","1.125693282128339856030","ChEA_2022(rank=396, adjP=0.673)","BCL6 27268052 Chip-Seq Bcells Human","362","1.125693282128339856030","enrichr","362","1.125693282128339856030","0.3700319597344021160800764392","0.6727853813352763223676334","","5","Literature--ChIP-seq(rank=97); ReMap--ChIP-seq(rank=184); Enrichr--Queries(rank=493); ARCHS4--Coexpression(rank=526); GTEx--Coexpression(rank=1156)","971","0.32310000000000000","ARCHS4 Coexpression,0.3231"
"FOXO1","400","400.000000000000000","1","0.3800239263492889429940646551","0.6840430674287201195937769","1.325084668758414130352","ChEA_2022(rank=400, adjP=0.684)","FOXO1 23066095 ChIP-Seq LIVER Mouse","363","1.325084668758414130352","enrichr","363","1.325084668758414130352","0.3800239263492889429940646551","0.6840430674287201195937769","","5","ReMap--ChIP-seq(rank=44); Literature--ChIP-seq(rank=81); Enrichr--Queries(rank=122); ARCHS4--Coexpression(rank=394); GTEx--Coexpression(rank=453)","341","0.08689000000000000","Enrichr Queries,0.08689"
"SUPT20H","406","406.000000000000000","1","0.9823443463107032203041057983","0.9999961280798164153793550","0.007576919737604754720","ENCODE_TF_ChIP-seq_2015(rank=406, adjP=1)","SUPT20H GM12878 hg19","364","0.007576919737604754720","enrichr","364","0.007576919737604754720","0.9823443463107032203041057983","0.9999961280798164153793550","","0","",NA,NA,NA
"ZFP322A","420","420.000000000000000","1","0.4166966932581437355054276850","0.7137613141018132045800826","1.649522953479223952300","ChEA_2022(rank=420, adjP=0.714)","ZFP322A 24550733 ChIP-Seq MESCs Mouse","365","1.649522953479223952300","enrichr","365","1.649522953479223952300","0.4166966932581437355054276850","0.7137613141018132045800826","","0","",NA,NA,NA
"RCOR2","423","423.000000000000000","1","0.4272489116095127270611442327","0.7253517182621499470585036","1.076595702402850074364","ChEA_2022(rank=423, adjP=0.725)","RCOR2 21632747 ChIP-Seq MESCs Mouse","366","1.076595702402850074364","enrichr","366","1.076595702402850074364","0.4272489116095127270611442327","0.7253517182621499470585036","","0","",NA,NA,NA
"STAT5","424","424.000000000000000","1","0.4281514920295395043581265782","0.7253517182621499470585036","0.951732877248910535961","ChEA_2022(rank=424, adjP=0.725)","STAT5 23275557 ChIP-Seq MAMMARY-EPITHELIUM Mouse","367","0.951732877248910535961","enrichr","367","0.951732877248910535961","0.4281514920295395043581265782","0.7253517182621499470585036","","0","",NA,NA,NA
"NR1H3","426","426.000000000000000","1","0.4297716428021901013956096449","0.7253517182621499470585036","0.988699406388310886307","ChEA_2022(rank=426, adjP=0.725)","NR1H3 23393188 ChIP-Seq ATHEROSCLEROTIC-FOAM Human","368","0.988699406388310886307","enrichr","368","0.988699406388310886307","0.4297716428021901013956096449","0.7253517182621499470585036","","5","GTEx--Coexpression(rank=87); Literature--ChIP-seq(rank=110); ReMap--ChIP-seq(rank=132); Enrichr--Queries(rank=154); ARCHS4--Coexpression(rank=486)","226","0.05414000000000000","GTEx Coexpression,0.05414"
"PAX6","427","427.000000000000000","1","0.4311812991891670332478270211","0.7253517182621499470585036","0.964552021825230476715","ChEA_2022(rank=427, adjP=0.725)","PAX6 23342162 ChIP-ChIP BETA-FORBRAIN-LENS Mouse","369","0.964552021825230476715","enrichr","369","0.964552021825230476715","0.4311812991891670332478270211","0.7253517182621499470585036","","5","Literature--ChIP-seq(rank=114); ReMap--ChIP-seq(rank=155); ARCHS4--Coexpression(rank=457); GTEx--Coexpression(rank=533); Enrichr--Queries(rank=821)","893","0.28070000000000001","ARCHS4 Coexpression,0.2807"
"TAF15","429","429.000000000000000","1","0.4368488579247408187811174685","0.7331729084051592515436369","1.126049561140550547833","ChEA_2022(rank=429, adjP=0.733)","TAF15 26573619 Chip-Seq HEK293 Human","370","1.126049561140550547833","enrichr","370","1.126049561140550547833","0.4368488579247408187811174685","0.7331729084051592515436369","","0","",NA,NA,NA
