"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","ChEA3","ENRICHR","TRRUST"
"1","E2F1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","8.25","1","6","ARCHS4--Coexpression(rank=9); ENCODE--ChIP-seq(rank=14); GTEx--Coexpression(rank=30); Literature--ChIP-seq(rank=82); ReMap--ChIP-seq(rank=95); Enrichr--Queries(rank=122)","18","rank=12; score=4.6943; p=2.0215e-05","rank=18; score=0.005528","rank=2; score=36.028; p=1.0814e-07; adjP=4.6249e-07","rank=1; score=6.2243; p=5.9663e-07"
"2","EGR1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","24.00","2","6","Literature--ChIP-seq(rank=3); ENCODE--ChIP-seq(rank=8); ReMap--ChIP-seq(rank=28); GTEx--Coexpression(rank=140); Enrichr--Queries(rank=294); ARCHS4--Coexpression(rank=378)","74","rank=2; score=7.5105; p=3.0864e-08","rank=74; score=0.01829","rank=10; score=114.9; p=3.5707e-32; adjP=9.01e-30","rank=10; score=3.4719; p=0.0003374"
"3","E2F4","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","28.50","3","6","ENCODE--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=32); Literature--ChIP-seq(rank=90); ARCHS4--Coexpression(rank=250); GTEx--Coexpression(rank=573); Enrichr--Queries(rank=779)","69","rank=3; score=7.4523; p=3.5293e-08","rank=69; score=0.01695","rank=12; score=28.173; p=2.7069e-08; adjP=5.6304e-07","rank=30; score=2.5559; p=0.0027806"
"4","SOX2","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","33.75","3","5","Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=255); Enrichr--Queries(rank=380); ARCHS4--Coexpression(rank=447); GTEx--Coexpression(rank=613)","20","rank=68; score=2.1666; p=0.0068136","rank=20; score=0.006098","rank=3; score=337.4; p=1.7124e-61; adjP=1.2963e-58","rank=44; score=2.1706; p=0.006751"
"5","KLF5","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","36.50","4","5","ARCHS4--Coexpression(rank=2); GTEx--Coexpression(rank=4); Enrichr--Queries(rank=10); ReMap--ChIP-seq(rank=17); Literature--ChIP-seq(rank=80)","4","rank=6; score=6.4884; p=3.2478e-07","rank=4; score=0.001229","rank=112; score=41.601; p=9.4503e-07; adjP=3.4728e-06","rank=24; score=2.866; p=0.0013615"
"6","MYCN","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","45.25","5","5","ReMap--ChIP-seq(rank=9); Literature--ChIP-seq(rank=108); Enrichr--Queries(rank=253); GTEx--Coexpression(rank=287); ARCHS4--Coexpression(rank=476)","123","rank=25; score=3.735; p=0.00018408","rank=123; score=0.0303","rank=28; score=33.513; p=6.1199e-05; adjP=0.0035254","rank=5; score=4.2132; p=6.1202e-05"
"7","WT1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","61.25","41","4","Literature--ChIP-seq(rank=4); Enrichr--Queries(rank=455); ARCHS4--Coexpression(rank=786); GTEx--Coexpression(rank=1420)","97","rank=62; score=2.3083; p=0.0049171","rank=97; score=0.02439","rank=45; score=89.245; p=1.0512e-24; adjP=7.2344e-23","rank=41; score=2.183; p=0.0065617"
"8","TP53","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","61.75","1","5","Literature--ChIP-seq(rank=10); ARCHS4--Coexpression(rank=92); ReMap--ChIP-seq(rank=197); GTEx--Coexpression(rank=867); Enrichr--Queries(rank=923)","239","rank=4; score=7.1208; p=7.5726e-08","rank=239; score=0.05651","rank=1; score=56.593; p=5.9141e-17; adjP=1.3567e-15","rank=3; score=4.6567; p=2.2044e-05"
"9","FOXM1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","63.00","19","6","GTEx--Coexpression(rank=25); ARCHS4--Coexpression(rank=28); Literature--ChIP-seq(rank=47); ENCODE--ChIP-seq(rank=75); Enrichr--Queries(rank=230); ReMap--ChIP-seq(rank=251)","61","rank=82; score=1.9176; p=0.012089","rank=61; score=0.01556","rank=90; score=42.269; p=1.9393e-10; adjP=1.4681e-09","rank=19; score=3.2603; p=0.00054916"
"10","SMAD3","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","64.50","6","5","Literature--ChIP-seq(rank=7); ReMap--ChIP-seq(rank=24); Enrichr--Queries(rank=362); ARCHS4--Coexpression(rank=370); GTEx--Coexpression(rank=544)","182","rank=34; score=3.0169; p=0.00096176","rank=182; score=0.04268","rank=6; score=70.442; p=1.3393e-18; adjP=4.0555e-17","rank=36; score=2.3083; p=0.0049171"
