"TF","HD_ALL"
"AHR","-1.295151587185036091"
"AR","-0.692774840823711657"
"ARID2","-0.124138540829064004"
"ARID3A","-1.033553487067734755"
"ARNT","0.599376341499984644"
"ARNTL","-1.227385516950256772"
"ASCL1","0.281755123067884361"
"ATF1","0.212834718875053286"
"ATF2","-0.851770103814070700"
"ATF3","-0.467322391521465375"
"ATF4","-5.298043104020333516"
"ATF6","-0.428390518362783579"
"ATF7","-0.573605741478101283"
"BACH1","-0.763738668076168081"
"BACH2","-0.003145366352020219"
"BATF","-0.924704915723796761"
"BCL11A","-0.566997281508127449"
"BCL6","0.529780796162804046"
"BHLHE22","0.433076210049787413"
"BHLHE40","1.174040569173159909"
"CDX2","-1.505319166944380394"
"CEBPA","0.978310360777448151"
"CEBPB","-0.759536287544840150"
"CEBPD","1.113153336777510383"
"CEBPG","-1.770754037496429900"
"CLOCK","-1.051570857409050097"
"CREB1","-0.615526670224595063"
"CREB3","0.706848170301936030"
"CREB3L1","1.487978492696310884"
"CREM","-1.802022655896092562"
"CTCF","1.442225453318947581"
"CTCFL","0.429454660431064172"
"CUX1","0.766356863611268202"
"DUX4","-0.008697750781466507"
"E2F1","5.174585571055439814"
"E2F2","5.289663759876574112"
"E2F3","3.711029492568199473"
"E2F4","7.014566482726652730"
"E2F5","0.218586552878464596"
"E2F6","-0.986035770282270296"
"E2F7","2.909389119909139954"
"EBF1","-0.946322700415125007"
"EGR1","-1.006313457930571031"
"EHF","-2.733133760137493429"
"ELF1","-0.226213933201583256"
"ELF3","-0.864716342869046639"
"ELF5","-0.644669184875932055"
"ELK1","-1.685655412812316456"
"ELK4","-0.519590094310776518"
"EOMES","-0.120526773659535125"
"EPAS1","-1.156186358050207419"
"ERG","0.660206106501071144"
"ESR1","-2.136716463635090157"
"ESR2","-1.833204685240992671"
"ESRRA","-2.483385908849191193"
"ETS1","2.683055768305222966"
"ETS2","-0.289113442996246528"
"ETV1","0.514716662538956538"
"ETV4","1.025736311113991439"
"FLI1","-0.683321831699631455"
"FOS","-0.208231233585306513"
"FOSL1","0.821189436852180377"
"FOSL2","1.472143282704678535"
"FOXA1","-1.191025082962604564"
"FOXA2","-1.569375713455917420"
"FOXJ2","-0.532060587837671295"
"FOXK2","0.905082490513934745"
"FOXL2","-1.400175515245353663"
"FOXM1","2.623918098785748665"
"FOXO1","-2.812275063143651277"
"FOXO3","-1.383651465818128923"
"FOXO4","-1.181918422224917053"
"FOXP1","-0.989912490704373149"
"FOXP2","-0.766404929939559221"
"GABPA","1.748098542480447160"
"GATA1","0.037431682160596405"
"GATA2","-1.844096241410607684"
"GATA3","0.490732022280517322"
"GATA4","-0.602276684502920157"
"GATA6","-0.871247671579390759"
"GFI1B","0.203726236474181366"
"GLI2","0.336123532651961154"
"GRHL2","-3.682854170740610389"
"HBP1","-1.058387749815380641"
"HHEX","-1.140040562313310746"
"HIF1A","-0.622346327731534310"
"HINFP","0.716635108905416818"
"HMBOX1","1.363177651996504425"
"HNF1A","-2.179253593938209388"
"HNF1B","-2.295117559893798287"
"HNF4A","-3.015227313993666947"
"HNF4G","-2.150650345915545270"
"HOXA9","0.186189118962673483"
"HOXB13","-1.496982589379613815"
"HSF1","-0.616407403847093471"
"IKZF1","-1.448010410833006745"
"IRF1","1.001087707078211375"
"IRF2","3.358676441671026858"
"IRF3","1.699684689595417852"
"IRF4","0.077857611787784789"
"IRF9","1.957666674016107500"
"JUN","0.457419428780808213"
"JUNB","0.671436298786228791"
"JUND","1.263008834914523204"
"KDM5B","-1.289146889464150236"
"KLF1","-0.219766664761361641"
"KLF13","-2.815991661361297194"
"KLF3","-2.403174940617232469"
"KLF4","-1.948751825728351594"
"KLF5","-3.425089903460166951"
"KLF6","-0.234168532728529694"
"KLF9","-1.434800232408901310"
"KMT2A","-1.072634106802538234"
"LEF1","1.005396034998364607"
"LHX2","1.599619870799894539"
"LYL1","-2.026568725440708985"
"MAF","-1.270194266584647069"
"MAFB","-2.643281985159223524"
"MAFF","0.009197927536593313"
"MAFG","-1.539593610111085198"
"MAFK","-1.810484268652279738"
"MAX","-1.570764608568470999"
"MAZ","2.495947439106234622"
"MBD1","-1.270818615842803423"
"MBD2","-1.596559371157498575"
"MEF2A","-0.025414444533843665"
"MEF2B","0.069791286763305246"
"MEF2C","0.938954223721395809"
"MEIS1","0.488845353277066796"
"MEIS2","-0.766393346488451255"
"MITF","-0.487950747315393785"
"MNT","-0.534311772280409381"
"MXI1","-1.733641361148382964"
"MYB","-0.450648460410244756"
"MYBL2","0.928264175853231510"
"MYC","0.570496372921625250"
"MYCN","4.579913857740045557"
"MYOD1","-0.780502212005527163"
"NANOG","-1.580816118029517936"
"NCOA1","1.564792576671776070"
"NCOA2","-1.187167914257394763"
"NCOA3","1.925878463925466022"
"NEUROD1","-0.930554548788048996"
"NFATC1","0.430606507217929479"
"NFE2","-1.725645095193338197"
"NFE2L1","0.776087612600860122"
"NFE2L2","0.548707641575729377"
"NFIC","-1.174381950968852673"
"NFKB1","-0.488587061065277661"
"NFKB2","0.667860714074049011"
"NFYA","-1.572410730946902646"
"NFYB","1.485886020261473428"
"NR1H2","-0.988454998894876091"
"NR1H3","-1.217322521005397062"
"NR2C2","0.227868016909126114"
"NR2F1","-2.794901929440836597"
"NR2F6","3.546077240975648692"
"NR3C1","-1.751655471967543010"
"NR4A1","-0.691056358615045219"
"NR5A2","-0.800951326596974766"
"NRF1","0.899351832123508443"
"ONECUT1","0.393746123145195304"
"OTX2","-1.110029997391455137"
"PAX5","-0.532353879856073520"
"PAX6","0.390636055847285890"
"PAX8","-0.512138016844547850"
"PBX2","-0.858116103238815486"
"PBX3","-0.227534909320622675"
"PDX1","-0.697057489832248578"
"PGR","-0.993477569289137552"
"PKNOX1","-0.573411954437998528"
"POU2F1","0.216117837938714336"
"POU2F2","-0.550514273202895144"
"POU4F2","-0.080922890659060040"
"POU5F1","0.445600029027632571"
"PPARA","0.115227427174870597"
"PPARG","-1.150340331618201928"
"PRDM1","-0.697491569771830910"
"PRDM14","-2.674586861169595320"
"PROX1","0.278480576007277658"
"RARA","-0.463629938797429253"
"RBPJ","-0.123636003830643063"
"REL","0.524649352256783774"
"RELA","-0.617876023155424448"
"RELB","-0.474471030007596051"
"REST","0.349719397563488521"
"RFX1","0.005455103030391487"
"RFX2","-0.609236759347853374"
"RFX5","-1.036306341004550324"
"RUNX1","-1.157892343357093567"
"RUNX2","0.318624914319523223"
"RUNX3","0.407724524053317161"
"RXRA","0.211497744353864453"
"SIX2","-1.504987396643720832"
"SIX5","3.727853271283762648"
"SMAD1","-1.296724493304747261"
"SMAD3","-2.348912308901012658"
"SMAD4","-1.326556649262356391"
"SMAD5","0.275074720090312030"
"SNAI2","2.154466305304065354"
"SNAPC4","2.133376473769171611"
"SOX10","-1.431063169882794472"
"SOX11","0.327500204003748685"
"SOX13","-0.616081052994407630"
"SOX2","-1.143778838489329486"
"SOX6","-2.473830252934031027"
"SOX9","-0.620264757569558234"
"SP1","-0.236786885488951826"
"SP2","0.543632277378550244"
"SP3","-1.631700380171889675"
"SP4","2.197744750493383137"
"SPI1","-0.066535500491080049"
"SPIB","-1.273901548555054664"
"SREBF1","-1.447696200635065544"
"SREBF2","-1.612475990331049047"
"SRF","0.353116017995380560"
"STAT1","0.866446367922286353"
"STAT2","3.287173085189845967"
"STAT3","0.668817532860555786"
"STAT4","-0.596728565803521294"
"STAT5A","1.213288838112783541"
"STAT5B","1.819722621464565648"
"STAT6","-0.357447646903578387"
"TAL1","-1.357609403997619202"
"TBP","0.934840510362985433"
"TBX21","-2.459575747156519387"
"TCF12","1.180556194231273892"
"TCF3","-0.109367222668137490"
"TCF4","-0.691073227355727071"
"TCF7","1.187277933543272157"
"TCF7L2","-0.246436473542530593"
"TEAD1","-0.206134390419132091"
"TEAD2","-0.603206883411701478"
"TEAD4","-1.922809735298392830"
"TFAP2A","-1.152045396854397774"
"TFAP2C","-1.409730592101444691"
"TFAP4","-2.110818786975213079"
"TFDP1","3.860395076910609458"
"TGIF2","1.044370809989247029"
"THAP1","0.232393747962080510"
"THAP11","-2.695173628239160735"
"TP53","-0.787799090226131038"
"TP63","-2.089847011332239823"
"TP73","-1.093674204922739035"
"TWIST1","0.736791007887959704"
"USF1","1.238781213681622084"
"USF2","1.807447626678515551"
"VDR","-0.752344454838319132"
"WT1","-1.537220389646569263"
"XBP1","-0.239059329480419414"
"YY1","0.988805078415674887"
"ZBED1","1.492624209179360451"
"ZBTB11","0.254830831423934145"
"ZBTB33","1.421663727002186350"
"ZBTB7A","-1.434879008326803040"
"ZEB1","0.679622196394764844"
"ZEB2","0.047883075717002233"
"ZFX","1.414001473374578932"
"ZKSCAN1","-0.636249107720908036"
"ZNF143","0.377165905794652589"
"ZNF217","0.274489804738638599"
"ZNF24","1.212605840792223555"
"ZNF263","2.684439898639933819"
"ZNF274","-0.298402584338507249"
"ZNF384","1.316177359233302591"
"ZNF592","1.329924272537310159"
"ZNF639","1.165955396657792242"
"ZNF740","1.418820149457899582"
