"statistic","source","condition","score","p_value","TF","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","Method_Direction","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"ora","SP1","MD_SW480","6.93529590953102737","0.000000116065752238073","SP1","1","trrust","1","6.93529590953102737","0.000000116065752238073",NA,"","5","ENCODE--ChIP-seq(rank=87); ReMap--ChIP-seq(rank=198); GTEx--Coexpression(rank=807); Enrichr--Queries(rank=1206); ARCHS4--Coexpression(rank=1417)","1201","0.50219999999999998","GTEx Coexpression,0.5022"
"ora","ATF4","MD_SW480","4.90202223452229990","0.000012530770196658557","ATF4","2","trrust","2","4.90202223452229990","0.000012530770196658557",NA,"","4","ReMap--ChIP-seq(rank=8); GTEx--Coexpression(rank=105); Enrichr--Queries(rank=1175); ARCHS4--Coexpression(rank=1559)","118","0.02694000000000000","ReMap ChIP-seq,0.02694"
"ora","NCOR2","MD_SW480","4.36285770825437602","0.000043365293666483115","NCOR2","3","trrust","3","4.36285770825437602","0.000043365293666483115",NA,"","0","",NA,NA,NA
"ora","WT1","MD_SW480","4.29522742493214782","0.000050672528435708622","WT1","4","trrust","4","4.29522742493214782","0.000050672528435708622",NA,"","4","Literature--ChIP-seq(rank=4); Enrichr--Queries(rank=157); GTEx--Coexpression(rank=329); ARCHS4--Coexpression(rank=384)","105","0.02439000000000000","Literature ChIP-seq,0.02439"
"ora","CEBPB","MD_SW480","4.06497648967059710","0.000086104036294177883","CEBPB","5","trrust","5","4.06497648967059710","0.000086104036294177883",NA,"","6","ENCODE--ChIP-seq(rank=20); Literature--ChIP-seq(rank=95); ReMap--ChIP-seq(rank=118); GTEx--Coexpression(rank=519); ARCHS4--Coexpression(rank=540); Enrichr--Queries(rank=620)","563","0.16950000000000001","ENCODE ChIP-seq,0.1695"
"ora","REST","MD_SW480","3.58320633371128272","0.000261092060887922891","REST","6","trrust","6","3.58320633371128272","0.000261092060887922891",NA,"","6","ENCODE--ChIP-seq(rank=2); Literature--ChIP-seq(rank=9); GTEx--Coexpression(rank=27); ReMap--ChIP-seq(rank=49); ARCHS4--Coexpression(rank=770); Enrichr--Queries(rank=1076)","75","0.01680000000000000","GTEx Coexpression,0.0168"
"ora","NCOR1","MD_SW480","3.55655828808973684","0.000277614222592877102","NCOR1","7","trrust","7","3.55655828808973684","0.000277614222592877102",NA,"","0","",NA,NA,NA
"ora","ZEB1","MD_SW480","3.35567671222741826","0.000440882933584353241","ZEB1","8","trrust","8","3.35567671222741826","0.000440882933584353241",NA,"","5","ENCODE--ChIP-seq(rank=19); GTEx--Coexpression(rank=125); Enrichr--Queries(rank=156); ARCHS4--Coexpression(rank=160); ReMap--ChIP-seq(rank=231)","305","0.07778000000000000","GTEx Coexpression,0.07778"
"ora","SP3","MD_SW480","3.34679343305064503","0.000449993838159394902","SP3","9","trrust","9","3.34679343305064503","0.000449993838159394902",NA,"","3","GTEx--Coexpression(rank=1013); Enrichr--Queries(rank=1266); ARCHS4--Coexpression(rank=1537)","1392","0.63039999999999996","GTEx Coexpression,0.6304"
"ora","AR","MD_SW480","3.27062281207542060","0.000536262202953172954","AR","10","trrust","10","3.27062281207542060","0.000536262202953172954",NA,"","5","Literature--ChIP-seq(rank=26); ReMap--ChIP-seq(rank=39); Enrichr--Queries(rank=45); ARCHS4--Coexpression(rank=549); GTEx--Coexpression(rank=636)","141","0.03205000000000000","Enrichr Queries,0.03205"
"ora","HIF1A","MD_SW480","3.24503251073432830","0.000568810348828453533","HIF1A","11","trrust","11","3.24503251073432830","0.000568810348828453533",NA,"","5","Literature--ChIP-seq(rank=43); GTEx--Coexpression(rank=77); ReMap--ChIP-seq(rank=92); ARCHS4--Coexpression(rank=134); Enrichr--Queries(rank=927)","205","0.04792000000000000","GTEx Coexpression,0.04792"
