"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","TRRUST"
"1","TP53","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","3.5","3","5","Literature--ChIP-seq(rank=10); ARCHS4--Coexpression(rank=92); ReMap--ChIP-seq(rank=197); GTEx--Coexpression(rank=867); Enrichr--Queries(rank=923)","239","rank=4; score=7.1208; p=7.5726e-08","rank=3; score=4.6567; p=2.2044e-05"
"2","EGR1","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6.0","2","6","Literature--ChIP-seq(rank=3); ENCODE--ChIP-seq(rank=8); ReMap--ChIP-seq(rank=28); GTEx--Coexpression(rank=140); Enrichr--Queries(rank=294); ARCHS4--Coexpression(rank=378)","74","rank=2; score=7.5105; p=3.0864e-08","rank=10; score=3.4719; p=0.0003374"
"3","E2F1","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6.5","1","6","ARCHS4--Coexpression(rank=9); ENCODE--ChIP-seq(rank=14); GTEx--Coexpression(rank=30); Literature--ChIP-seq(rank=82); ReMap--ChIP-seq(rank=95); Enrichr--Queries(rank=122)","18","rank=12; score=4.6943; p=2.0215e-05","rank=1; score=6.2243; p=5.9663e-07"
"4","TCF4","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","12.0","6","5","Literature--ChIP-seq(rank=36); ReMap--ChIP-seq(rank=72); GTEx--Coexpression(rank=382); Enrichr--Queries(rank=438); ARCHS4--Coexpression(rank=982)","737","rank=18; score=4.0801; p=8.3162e-05","rank=6; score=4.0556; p=8.7987e-05"
"5","MYCN","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","15.0","5","5","ReMap--ChIP-seq(rank=9); Literature--ChIP-seq(rank=108); Enrichr--Queries(rank=253); GTEx--Coexpression(rank=287); ARCHS4--Coexpression(rank=476)","123","rank=25; score=3.735; p=0.00018408","rank=5; score=4.2132; p=6.1202e-05"
"6","KLF5","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","15.0","6","5","ARCHS4--Coexpression(rank=2); GTEx--Coexpression(rank=4); Enrichr--Queries(rank=10); ReMap--ChIP-seq(rank=17); Literature--ChIP-seq(rank=80)","4","rank=6; score=6.4884; p=3.2478e-07","rank=24; score=2.866; p=0.0013615"
"7","E2F4","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","16.5","3","6","ENCODE--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=32); Literature--ChIP-seq(rank=90); ARCHS4--Coexpression(rank=250); GTEx--Coexpression(rank=573); Enrichr--Queries(rank=779)","69","rank=3; score=7.4523; p=3.5293e-08","rank=30; score=2.5559; p=0.0027806"
"8","ESR1","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","17.0","8","6","ENCODE--ChIP-seq(rank=9); Literature--ChIP-seq(rank=17); ReMap--ChIP-seq(rank=41); ARCHS4--Coexpression(rank=73); Enrichr--Queries(rank=363); GTEx--Coexpression(rank=1188)","191","rank=8; score=5.7557; p=1.7549e-06","rank=26; score=2.8471; p=0.001422"
"9","SNAI2","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","24.0","17","4","ReMap--ChIP-seq(rank=21); ARCHS4--Coexpression(rank=80); Enrichr--Queries(rank=559); GTEx--Coexpression(rank=658)","209","rank=31; score=3.1378; p=0.00072808","rank=17; score=3.3742; p=0.00042243"
"10","RARA","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","26.0","23","5","ReMap--ChIP-seq(rank=63); Literature--ChIP-seq(rank=151); GTEx--Coexpression(rank=391); Enrichr--Queries(rank=475); ARCHS4--Coexpression(rank=529)","717","rank=23; score=3.7947; p=0.00016043","rank=29; score=2.5813; p=0.0026224"
