"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","TRRUST"
"1","KLF5","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","5.5","4","5","GTEx--Coexpression(rank=7); ARCHS4--Coexpression(rank=9); ReMap--ChIP-seq(rank=18); Enrichr--Queries(rank=29); Literature--ChIP-seq(rank=56)","20","rank=4; score=4.8917; p=1.2832e-05","rank=7; score=3.8669; p=0.00013587"
"2","HIF1A","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6.5","5","5","ReMap--ChIP-seq(rank=13); Literature--ChIP-seq(rank=69); ARCHS4--Coexpression(rank=99); Enrichr--Queries(rank=364); GTEx--Coexpression(rank=923)","186","rank=5; score=4.8696; p=1.3502e-05","rank=8; score=3.7061; p=0.00019675"
"3","NFKB1","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","8.0","3","4","ReMap--ChIP-seq(rank=141); ARCHS4--Coexpression(rank=378); Enrichr--Queries(rank=432); GTEx--Coexpression(rank=1213)","727","rank=13; score=3.6721; p=0.00021277","rank=3; score=4.6884; p=2.0495e-05"
"4","SP1","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","10.0","4","5","ENCODE--ChIP-seq(rank=50); ReMap--ChIP-seq(rank=91); GTEx--Coexpression(rank=445); Enrichr--Queries(rank=1220); ARCHS4--Coexpression(rank=1553)","840","rank=16; score=3.4853; p=0.00032711","rank=4; score=4.5944; p=2.5445e-05"
"5","TCF4","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","10.0","5","5","Literature--ChIP-seq(rank=31); ReMap--ChIP-seq(rank=41); Enrichr--Queries(rank=358); ARCHS4--Coexpression(rank=768); GTEx--Coexpression(rank=815)","489","rank=15; score=3.4887; p=0.00032459","rank=5; score=4.5143; p=3.06e-05"
"6","RELA","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","10.5","2","6","Literature--ChIP-seq(rank=18); ENCODE--ChIP-seq(rank=48); ReMap--ChIP-seq(rank=152); Enrichr--Queries(rank=836); GTEx--Coexpression(rank=843); ARCHS4--Coexpression(rank=1533)","399","rank=19; score=3.3179; p=0.00048096","rank=2; score=5.114; p=7.6908e-06"
"7","SREBF1","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","14.0","9","6","ENCODE--ChIP-seq(rank=35); Literature--ChIP-seq(rank=103); ReMap--ChIP-seq(rank=128); GTEx--Coexpression(rank=193); Enrichr--Queries(rank=260); ARCHS4--Coexpression(rank=497)","428","rank=9; score=3.9467; p=0.00011307","rank=19; score=2.6632; p=0.0021719"
"8","FOS","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","14.0","12","5","ENCODE--ChIP-seq(rank=33); ReMap--ChIP-seq(rank=67); Enrichr--Queries(rank=102); GTEx--Coexpression(rank=391); ARCHS4--Coexpression(rank=749)","278","rank=12; score=3.7877; p=0.00016306","rank=16; score=2.7263; p=0.001878"
"9","STAT3","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","15.0","1","6","ENCODE--ChIP-seq(rank=15); Literature--ChIP-seq(rank=38); ReMap--ChIP-seq(rank=108); GTEx--Coexpression(rank=511); Enrichr--Queries(rank=622); ARCHS4--Coexpression(rank=801)","454","rank=29; score=2.6761; p=0.002108","rank=1; score=5.2045; p=6.244e-06"
"10","EGR1","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","23.5","11","6","Literature--ChIP-seq(rank=7); Enrichr--Queries(rank=39); ReMap--ChIP-seq(rank=50); ENCODE--ChIP-seq(rank=70); GTEx--Coexpression(rank=517); ARCHS4--Coexpression(rank=775)","121","rank=11; score=3.8201; p=0.00015131","rank=36; score=2.0667; p=0.008576"
