"TF","MD_SW480"
"AHR","2.3245607663985419222"
"AR","0.5357887812334827249"
"ARID2","0.1461687278223499364"
"ARID3A","0.2031502149641823962"
"ARNT","3.7932877970282845581"
"ARNTL","1.3236049073470794735"
"ASCL1","2.2039644561042477378"
"ATF1","0.4431046857496341862"
"ATF2","-1.1008819288495208522"
"ATF3","-3.4461367395378141865"
"ATF4","-3.4012532415517329198"
"ATF6","-0.8659639653464715758"
"ATF7","1.6101337259158465809"
"BACH1","-0.9657891677799824715"
"BACH2","2.0141605790929579811"
"BATF","1.8822292722098550311"
"BCL11A","1.6466629535206973589"
"BCL6","-1.5965113889109556755"
"BHLHE22","-0.9942880294440532563"
"BHLHE40","-0.7673389538558538225"
"CDX2","0.7808462897335886055"
"CEBPA","3.9272994252764110712"
"CEBPB","0.5090594821940594983"
"CEBPD","-0.0501334885862245727"
"CEBPG","3.0305178040995741640"
"CLOCK","1.4879265183924199611"
"CREB1","-0.3850198367532481347"
"CREB3","0.9254219450838515604"
"CREB3L1","0.7549570849194133793"
"CREM","0.6838892725004773743"
"CTCF","1.4996657572298806027"
"CTCFL","-1.4106497388440935037"
"CUX1","1.8685055764593812011"
"DUX4","2.7770565458197258302"
"E2F1","1.1130981311895167263"
"E2F2","0.8650750700303663221"
"E2F3","0.8768000451669327733"
"E2F4","-1.7168370880875236661"
"E2F5","-0.3715815875306178739"
"E2F6","0.8958932499436290664"
"E2F7","2.3348264217753706973"
"EBF1","1.9549649896415917105"
"EGR1","1.0548294495171306462"
"EHF","-0.5918218256051100967"
"ELF1","2.1867100339949407939"
"ELF3","4.1692983171629967032"
"ELF5","-0.6949162652880069846"
"ELK1","-1.5209807893209037477"
"ELK4","-0.5292298328503376448"
"EOMES","2.2815302944438711208"
"EPAS1","0.9976794474263572798"
"ERG","0.6675655283199990464"
"ESR1","1.7054431584713358738"
"ESR2","0.7770315532126816915"
"ESRRA","1.6312757295711866057"
"ETS1","0.7997704588220858613"
"ETS2","-1.1710183683208712502"
"ETV1","1.0469154653701351343"
