"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ChEA3","ENRICHR"
"1","MTF2","ChEA3;ENRICHR","3","ChEA3;ENRICHR;CollecTRI","14.5","5","3","Literature--ChIP-seq(rank=1); ARCHS4--Coexpression(rank=1235); GTEx--Coexpression(rank=1384)","24","rank=24; score=0.006098","rank=5; score=148.54; p=1.3212e-26; adjP=4.9612e-24"
"2","REST","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","19.0","8","6","ENCODE--ChIP-seq(rank=1); Literature--ChIP-seq(rank=8); GTEx--Coexpression(rank=11); ReMap--ChIP-seq(rank=21); ARCHS4--Coexpression(rank=356); Enrichr--Queries(rank=1270)","30","rank=30; score=0.006845","rank=8; score=23.534; p=7.7008e-07; adjP=1.9278e-05"
"3","KLF4","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","31.0","20","5","GTEx--Coexpression(rank=16); Literature--ChIP-seq(rank=51); ARCHS4--Coexpression(rank=126); ReMap--ChIP-seq(rank=155); Enrichr--Queries(rank=414)","42","rank=42; score=0.009956","rank=20; score=28.183; p=0.0019131; adjP=0.017441"
"4","SOX2","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","35.5","17","5","Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=118); GTEx--Coexpression(rank=221); ARCHS4--Coexpression(rank=400); Enrichr--Queries(rank=557)","54","rank=54; score=0.0122","rank=17; score=45.967; p=3.7536e-11; adjP=1.8793e-09"
"5","TP63","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","41.5","15","5","Literature--ChIP-seq(rank=17); Enrichr--Queries(rank=21); GTEx--Coexpression(rank=55); ReMap--ChIP-seq(rank=70); ARCHS4--Coexpression(rank=307)","68","rank=68; score=0.01496","rank=15; score=21.905; p=6.4606e-07; adjP=1.7328e-05"
"6","CBX2","ChEA3;ENRICHR","2","ChEA3;ENRICHR","51.5","27","5","ENCODE--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=7); Enrichr--Queries(rank=1256); GTEx--Coexpression(rank=1319); ARCHS4--Coexpression(rank=1408)","76","rank=76; score=0.01695","rank=27; score=16.412; p=0.00014065; adjP=0.0014877"
"7","SMAD4","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","56.0","29","5","Literature--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=40); GTEx--Coexpression(rank=1094); Enrichr--Queries(rank=1366); ARCHS4--Coexpression(rank=1571)","83","rank=83; score=0.01829","rank=29; score=44.014; p=5.1822e-11; adjP=2.4324e-09"
"8","EMX2","ChEA3;ENRICHR","3","ChEA3;ENRICHR;CollecTRI","67.5","58","3","Enrichr--Queries(rank=24); GTEx--Coexpression(rank=385); ARCHS4--Coexpression(rank=1100)","77","rank=77; score=0.01709","rank=58; score=5.9818; p=0.2426; adjP=0.99999"
"9","CLOCK","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","68.5","44","5","ReMap--ChIP-seq(rank=3); Literature--ChIP-seq(rank=63); GTEx--Coexpression(rank=1198); Enrichr--Queries(rank=1317); ARCHS4--Coexpression(rank=1498)","44","rank=44; score=0.0101","rank=93; score=18.919; p=0.027957; adjP=0.12193"
"10","ESR1","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","72.5","35","6","ENCODE--ChIP-seq(rank=4); Literature--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=41); GTEx--Coexpression(rank=132); ARCHS4--Coexpression(rank=320); Enrichr--Queries(rank=456)","110","rank=110; score=0.02439","rank=35; score=40.995; p=1.8888e-09; adjP=8.3439e-08"
